Postcode,SED,Rented Households,Postcode Totals,SED Totals,Postcode Fraction,SED Fraction
2045,Summer Hill,386,386,14347,1,0.026904579
2046,Drummoyne,3595,3595,12670,1,0.283741121
2047,Drummoyne,1779,1779,12670,1,0.140410418
2048,Newtown,1422,1422,20698,1,0.06870229
2049,Newtown,2514,2544,20698,0.988207547,0.121461011
2049,Summer Hill,30,2544,14347,0.011792453,0.002091029
2050,Balmain,1260,2491,16844,0.505820955,0.074804085
2050,Newtown,1231,2491,20698,0.494179045,0.059474345
2060,North Shore,4061,4109,17313,0.988318326,0.234563623
2060,Willoughby,48,4109,14647,0.011681674,0.003277122
2061,North Shore,1921,1921,17313,1,0.110957084
2062,Willoughby,1275,1275,14647,1,0.087048542
2063,Willoughby,427,427,14647,1,0.029152728
2064,Willoughby,1817,1817,14647,1,0.124052707
2065,Lane Cove,1035,7163,10886,0.144492531,0.095076245
2065,North Shore,3528,7163,17313,0.492531062,0.203777508
2065,Willoughby,2600,7163,14647,0.362976407,0.177510753
2066,Lane Cove,4363,4518,10886,0.965692784,0.400790006
2066,Willoughby,155,4518,14647,0.034307216,0.010582372
2067,Lane Cove,16,4906,10886,0.003261313,0.001469778
2067,Willoughby,4890,4906,14647,0.996738687,0.333856762
2068,Willoughby,1484,1484,14647,1,0.101317676
2069,Davidson,791,1048,6085,0.754770992,0.129991783
2069,Willoughby,257,1048,14647,0.245229008,0.017546255
2070,Davidson,1235,1235,6085,1,0.202958094
2071,Davidson,1056,1056,6085,1,0.173541495
2072,Davidson,1143,1143,6085,1,0.187838948
2073,Davidson,40,991,6085,0.040363269,0.006573541
2073,Wahroonga,951,991,7185,0.959636731,0.132359081
2074,Davidson,186,1246,6085,0.149277689,0.030566968
2074,Wahroonga,1060,1246,7185,0.850722311,0.147529576
2075,Davidson,1125,1129,6085,0.996457042,0.184880855
2075,Wahroonga,4,1129,7185,0.003542958,0.000556715
2076,Wahroonga,1417,1417,7185,1,0.197216423
2077,Hornsby,3844,6284,6643,0.611712285,0.578654222
2077,Wahroonga,2440,6284,7185,0.388287715,0.339596381
2079,Hornsby,470,470,6643,1,0.070751167
2080,Hornsby,72,72,6643,1,0.010838477
2081,Hornsby,209,209,6643,1,0.031461689
2082,Hornsby,197,197,6643,1,0.029655276
2083,Gosford,51,143,11414,0.356643357,0.004468197
2083,Hornsby,92,143,6643,0.643356643,0.013849165
2084,Pittwater,189,189,5388,1,0.035077951
2085,Davidson,310,396,6085,0.782828283,0.050944947
2085,Wakehurst,86,396,6814,0.217171717,0.012621074
2086,Davidson,199,687,6085,0.289665211,0.032703369
2086,Wakehurst,488,687,6814,0.710334789,0.071617259
2087,Wakehurst,747,747,6814,1,0.109627238
2088,North Shore,3856,3856,17313,1,0.222722809
2089,North Shore,2464,2835,17313,0.869135802,0.142320799
2089,Willoughby,371,2835,14647,0.130864198,0.025329419
2090,North Shore,1483,2806,17313,0.528510335,0.085658176
2090,Willoughby,1323,2806,14647,0.471489665,0.090325664
2092,Manly,369,369,12887,1,0.028633507
2093,Manly,2299,2299,12887,1,0.178396834
2094,Manly,843,843,12887,1,0.065414759
2095,Manly,3633,3633,12887,1,0.281912004
2096,Manly,2166,2166,12887,1,0.168076356
2097,Wakehurst,1222,1222,6814,1,0.17933666
2099,Manly,3317,6102,12887,0.543592265,0.257391169
