SED_CODE_2021,SED_NAME_2021,SED_CODE_2022,SED_NAME_2022,RATIO_FROM_2021_TO_2022
10004,Balmain,10005,Balmain,1.0
10006,Barwon,10007,Barwon,1.0
10007,Bathurst,10008,Bathurst,1.0
10009,Bega,10009,Bega,1.0
10011,Blue Mountains,10011,Blue Mountains,1.0
10019,Clarence,10019,Clarence,1.0
10020,Coffs Harbour,10020,Coffs Harbour,1.0
10022,Cootamundra,10022,Cootamundra,1.0
10023,Cronulla,10023,Cronulla,1.0
10025,Drummoyne,10025,Drummoyne,1.0
10026,Dubbo,10026,Dubbo,1.0
10027,East Hills,10027,East Hills,1.0
10030,Gosford,10030,Gosford,1.0
10039,Kiama,10040,Kiama,1.0
10040,Kogarah,10041,Kogarah,1.0
10050,Manly,10050,Manly,1.0
10051,Maroubra,10051,Maroubra,1.0
10053,Monaro,10053,Monaro,1.0
10056,Murray,10055,Murray,1.0
10057,Myall Lakes,10056,Myall Lakes,1.0
10061,Northern Tablelands,10060,Northern Tablelands,1.0
10063,Orange,10062,Orange,1.0
10064,Oxley,10063,Oxley,1.0
10067,Pittwater,10066,Pittwater,1.0
10069,Port Stephens,10068,Port Stephens,1.0
10076,South Coast,10074,South Coast,1.0
10079,Swansea,10077,Swansea,1.0
10082,Terrigal,10080,Terrigal,1.0
10083,The Entrance,10081,The Entrance,1.0
10084,Tweed,10082,Tweed,1.0
10086,Vaucluse,10084,Vaucluse,1.0
10087,Wagga Wagga,10085,Wagga Wagga,1.0
10090,Willoughby,10089,Willoughby,1.0
19494,No usual address (NSW),19494,No usual address (NSW),1.0
19797,Migratory - Offshore - Shipping (NSW),19797,Migratory - Offshore - Shipping (NSW),1.0
20704,Bendigo East (Northern Victoria),20704,Bendigo East (Northern Victoria),1.0
20804,Bendigo West (Northern Victoria),20804,Bendigo West (Northern Victoria),1.0
21106,Brighton (Southern Metropolitan),21206,Brighton (Southern Metropolitan),1.0
21401,Bulleen (Eastern Metropolitan),21502,Bulleen (North-Eastern Metropolitan),1.0
21503,Bundoora (Northern Metropolitan),21602,Bundoora (North-Eastern Metropolitan),1.0
22404,Eildon (Northern Victoria),22304,Eildon (Northern Victoria),1.0
22607,Essendon (Western Metropolitan),22503,Essendon (Northern Metropolitan),1.0
23205,Frankston (South-Eastern Metropolitan),23005,Frankston (South-Eastern Metropolitan),1.0
23502,Gippsland East (Eastern Victoria),23201,Gippsland East (Eastern Victoria),1.0
23602,Gippsland South (Eastern Victoria),23301,Gippsland South (Eastern Victoria),1.0
24006,Kew (Southern Metropolitan),24006,Kew (Southern Metropolitan),1.0
24308,Lara (Western Victoria),24208,Lara (Western Victoria),1.0
24606,Malvern (Southern Metropolitan),24606,Malvern (Southern Metropolitan),1.0
24904,Mildura (Northern Victoria),24904,Mildura (Northern Victoria),1.0
25302,Mornington (Eastern Victoria),25301,Mornington (Eastern Victoria),1.0
