Row Number,Suburb Code 2021,Suburb,State,Postcode,Postcode Area (sq km),Suburb Area (sq km)
103,10039,Alleena,New South Wales,2669,6295.346,269.6334
104,10039,Alleena,New South Wales,2671,3297.7351,269.6334
105,10040,Allgomera,New South Wales,2440,3604.2396,120.3883
106,10040,Allgomera,New South Wales,2441,992.7849,120.3883
107,10040,Allgomera,New South Wales,2447,566.6442,120.3883
108,10041,Allworth,New South Wales,2324,627.1611,18.2505
109,10041,Allworth,New South Wales,2425,518.0099,18.2505
110,10042,Allynbrook,New South Wales,2311,783.5898,34.1815
111,10043,Alma Park,New South Wales,2642,4076.8,87.6845
112,10043,Alma Park,New South Wales,2656,1497.1368,87.6845
113,10043,Alma Park,New South Wales,2658,748.0545,87.6845
114,10043,Alma Park,New South Wales,2659,367.5445,87.6845
115,10043,Alma Park,New South Wales,2660,451.2793,87.6845
116,10044,Alpine,New South Wales,2575,981.4743,23.0329
117,10045,Alstonvale,New South Wales,2477,227.642,10.2583
118,10045,Alstonvale,New South Wales,2478,185.6804,10.2583
119,10045,Alstonvale,New South Wales,2480,1369.4565,10.2583
120,10046,Alstonville,New South Wales,2477,227.642,28.8249
121,10046,Alstonville,New South Wales,2478,185.6804,28.8249
122,10047,Alumy Creek,New South Wales,2460,6630.3495,9.0532
123,10048,Amaroo (NSW),New South Wales,2800,1993.9511,16.7796
124,10048,Amaroo (NSW),New South Wales,2866,1198.7089,16.7796
125,10049,Ambarvale,New South Wales,2560,411.3136,2.848
126,10050,Amosfield,New South Wales,2372,4894.7861,58.0841
127,10051,Anabranch North,New South Wales,2648,23909.7281,1661.3937
128,10052,Anabranch South,New South Wales,2648,23909.7281,2279.4634
129,10053,Anambah,New South Wales,2320,403.8742,11.5924
130,10053,Anambah,New South Wales,2321,361.6288,11.5924
131,10054,Ando,New South Wales,2631,1199.4934,112.1626
132,10054,Ando,New South Wales,2632,1824.9879,112.1626
133,10055,Anembo,New South Wales,2620,2869.8201,171.8203
134,10055,Anembo,New South Wales,2621,853.2512,171.8203
135,10055,Anembo,New South Wales,2622,4256.1145,171.8203
136,10055,Anembo,New South Wales,2630,4206.3548,171.8203
137,10056,Angledale,New South Wales,2550,3966.6591,26.8133
138,10057,Angledool,New South Wales,2834,2828.007,689.3144
139,10057,Angledool,New South Wales,2838,3487.8165,689.3144
140,10058,Anglers Reach,New South Wales,2629,2054.5144,11.1265
141,10059,Angourie,New South Wales,2464,102.8533,3.5357
142,10060,Angus,New South Wales,2756,1486.8709,6.0899
143,10060,Angus,New South Wales,2765,127.5271,6.0899
144,10061,Anna Bay,New South Wales,2315,32.3446,22.2502
145,10061,Anna Bay,New South Wales,2316,73.9271,22.2502
146,10061,Anna Bay,New South Wales,2317,9.734,22.2502
147,10061,Anna Bay,New South Wales,2319,29.6406,22.2502
148,10062,Annandale (NSW),New South Wales,2037,2.1374,1.4931
149,10062,Annandale (NSW),New South Wales,2038,1.4931,1.4931
150,10062,Annandale (NSW),New South Wales,2039,1.8337,1.4931
151,10062,Annandale (NSW),New South Wales,2040,4.754,1.4931
152,10062,Annandale (NSW),New South Wales,2048,1.218,1.4931
153,10062,Annandale (NSW),New South Wales,2050,1.5031,1.4931
154,10063,Annangrove,New South Wales,2155,36.388,10.2464
155,10063,Annangrove,New South Wales,2156,62.9548,10.2464
156,10063,Annangrove,New South Wales,2765,127.5271,10.2464
157,10064,Appin (NSW),New South Wales,2173,192.8683,102.055
158,10064,Appin (NSW),New South Wales,2508,162.241,102.055
159,10064,Appin (NSW),New South Wales,2560,411.3136,102.055
160,10064,Appin (NSW),New South Wales,2568,34.0936,102.055
161,10064,Appin (NSW),New South Wales,2569,26.7707,102.055
162,10064,Appin (NSW),New South Wales,2571,250.2842,102.055
163,10065,Apple Tree Flat,New South Wales,2850,6005.3758,17.0216
164,10066,Appleby,New South Wales,2340,3352.9983,18.1519
165,10066,Appleby,New South Wales,2345,291.7831,18.1519
166,10067,Appletree Flat,New South Wales,2330,4730.8949,28.5322
167,10068,Apsley (NSW),New South Wales,2820,2438.751,28.2301
168,10069,Arable,New South Wales,2628,2337.0094,116.3272
169,10069,Arable,New South Wales,2630,4206.3548,116.3272
170,10070,Arakoon,New South Wales,2431,45.9673,24.794
171,10070,Arakoon,New South Wales,2440,3604.2396,24.794
172,10071,Araluen (NSW),New South Wales,2536,974.8377,121.2736
173,10071,Araluen (NSW),New South Wales,2537,1167.0234,121.2736
174,10071,Araluen (NSW),New South Wales,2622,4256.1145,121.2736
175,10072,Aratula (NSW),New South Wales,2710,10466.1631,163.3817
176,10072,Aratula (NSW),New South Wales,2714,708.9706,163.3817
177,10073,Arcadia (NSW),New South Wales,2157,148.4858,22.4088
178,10073,Arcadia (NSW),New South Wales,2159,127.4464,22.4088
179,10074,Arcadia Vale,New South Wales,2264,115.1942,1.3455
180,10074,Arcadia Vale,New South Wales,2267,3.6556,1.3455
181,10074,Arcadia Vale,New South Wales,2283,59.2496,1.3455
182,10075,Ardglen,New South Wales,2338,989.4776,72.2728
183,10075,Ardglen,New South Wales,2339,1120.8458,72.2728
184,10076,Arding,New South Wales,2350,4543.2274,54.771
185,10076,Arding,New South Wales,2358,1905.5433,54.771
186,10077,Ardlethan,New South Wales,2652,6116.1137,538.8725
187,10077,Ardlethan,New South Wales,2665,4109.6274,538.8725
188,10077,Ardlethan,New South Wales,2669,6295.346,538.8725
189,10078,Argalong,New South Wales,2611,1558.6312,132.3034
190,10078,Argalong,New South Wales,2720,2485.6548,132.3034
191,10079,Argenton,New South Wales,2284,24.2726,1.5233
192,10079,Argenton,New South Wales,2285,32.3918,1.5233
193,10080,Argents Hill,New South Wales,2449,570.7344,76.2545
194,10081,Argoon,New South Wales,2707,2112.3439,247.1246
195,10081,Argoon,New South Wales,2716,2861.8271,247.1246
196,10082,Ariah Park,New South Wales,2665,4109.6274,489.991
197,10082,Ariah Park,New South Wales,2666,2462.5855,489.991
198,10082,Ariah Park,New South Wales,2668,708.1132,489.991
199,10082,Ariah Park,New South Wales,2671,3297.7351,489.991
200,10083,Arkell,New South Wales,2795,5307.5248,66.8602
201,10084,Arkstone,New South Wales,2580,5512.6655,79.3706
202,10084,Arkstone,New South Wales,2583,3382.6891,79.3706
203,10084,Arkstone,New South Wales,2787,4632.7818,79.3706
204,10084,Arkstone,New South Wales,2795,5307.5248,79.3706
205,10085,Armatree,New South Wales,2817,961.4848,484.98
206,10085,Armatree,New South Wales,2827,2964.6885,484.98
207,10085,Armatree,New South Wales,2828,2375.64,484.98
208,10086,Armidale,New South Wales,2350,4543.2274,274.5996
209,10087,Arncliffe,New South Wales,2020,11.9607,2.9429
210,10087,Arncliffe,New South Wales,2044,3.8539,2.9429
211,10087,Arncliffe,New South Wales,2205,4.244,2.9429
212,10087,Arncliffe,New South Wales,2207,7.1852,2.9429
213,10087,Arncliffe,New South Wales,2216,5.5962,2.9429
214,10088,Arndell Park,New South Wales,2148,37.6817,2.0008
215,10088,Arndell Park,New South Wales,2766,27.2383,2.0008
216,10088,Arndell Park,New South Wales,2767,10.1088,2.0008
217,10089,Arrawarra,New South Wales,2456,205.4443,2.818
218,10090,Arrawarra Headland,New South Wales,2456,205.4443,2.6804
219,10091,Artarmon,New South Wales,2064,2.5348,2.5348
220,10091,Artarmon,New South Wales,2065,5.6781,2.5348
221,10091,Artarmon,New South Wales,2066,9.5786,2.5348
222,10091,Artarmon,New South Wales,2067,5.8196,2.5348
223,10091,Artarmon,New South Wales,2068,5.6655,2.5348
224,10092,Arthurville,New South Wales,2818,471.7655,72.5398
225,10092,Arthurville,New South Wales,2820,2438.751,72.5398
226,10093,Arumpo,New South Wales,2648,23909.7281,5396.4077
227,10093,Arumpo,New South Wales,2711,24180.255,5396.4077
228,10093,Arumpo,New South Wales,2715,13749.9032,5396.4077
229,10093,Arumpo,New South Wales,2737,3345.8754,5396.4077
230,10093,Arumpo,New South Wales,2738,2066.851,5396.4077
231,10093,Arumpo,New South Wales,2878,18261.1234,5396.4077
232,10094,Ashbury,New South Wales,2131,3.4144,1.0312
233,10094,Ashbury,New South Wales,2133,2.5503,1.0312
234,10094,Ashbury,New South Wales,2193,4.1963,1.0312
235,10094,Ashbury,New South Wales,2194,3.3734,1.0312
236,10095,Ashby (NSW),New South Wales,2460,6630.3495,14.03
237,10095,Ashby (NSW),New South Wales,2463,549.2925,14.03
238,10095,Ashby (NSW),New South Wales,2465,23.5903,14.03
239,10096,Ashby Heights,New South Wales,2460,6630.3495,32.3489
240,10096,Ashby Heights,New South Wales,2463,549.2925,32.3489
241,10096,Ashby Heights,New South Wales,2469,3813.3747,32.3489
242,10097,Ashby Island,New South Wales,2463,549.2925,2.4098
243,10097,Ashby Island,New South Wales,2465,23.5903,2.4098
244,10097,Ashby Island,New South Wales,2469,3813.3747,2.4098
245,10098,Ashcroft,New South Wales,2168,12.8684,1.1539
246,10098,Ashcroft,New South Wales,2170,54.319,1.1539
247,10099,Ashfield (NSW),New South Wales,2045,2.3828,3.4144
248,10099,Ashfield (NSW),New South Wales,2046,6.0148,3.4144
249,10099,Ashfield (NSW),New South Wales,2130,1.2031,3.4144
250,10099,Ashfield (NSW),New South Wales,2131,3.4144,3.4144
251,10099,Ashfield (NSW),New South Wales,2132,2.4354,3.4144
252,10099,Ashfield (NSW),New South Wales,2133,2.5503,3.4144
253,10099,Ashfield (NSW),New South Wales,2193,4.1963,3.4144
254,10099,Ashfield (NSW),New South Wales,2203,2.0929,3.4144
255,10100,Ashford (NSW),New South Wales,2360,3385.2978,681.0473
256,10100,Ashford (NSW),New South Wales,2361,1963.1502,681.0473
257,10100,Ashford (NSW),New South Wales,2371,1900.6028,681.0473
258,10101,Ashley,New South Wales,2400,7569.0088,332.7669
259,10101,Ashley,New South Wales,2405,3418.239,332.7669
260,10102,Ashmont,New South Wales,2650,4061.238,2.4289
261,10103,Ashtonfield,New South Wales,2322,168.2091,6.8336
262,10103,Ashtonfield,New South Wales,2323,207.9467,6.8336
263,10104,Asquith,New South Wales,2074,22.0151,3.5033
264,10104,Asquith,New South Wales,2076,15.8484,3.5033
265,10104,Asquith,New South Wales,2077,22.8664,3.5033
266,10104,Asquith,New South Wales,2079,11.0623,3.5033
267,10105,Atholwood,New South Wales,2360,3385.2978,454.4564
268,10105,Atholwood,New South Wales,2361,1963.1502,454.4564
269,10105,Atholwood,New South Wales,2410,1530.5927,454.4564
270,10106,Attunga,New South Wales,2340,3352.9983,218.7213
271,10106,Attunga,New South Wales,2345,291.7831,218.7213
272,10106,Attunga,New South Wales,2346,1967.8028,218.7213
273,10106,Attunga,New South Wales,2353,198.8995,218.7213
274,10107,Auburn (NSW),New South Wales,2128,2.7,8.5637
275,10107,Auburn (NSW),New South Wales,2141,11.9359,8.5637
276,10107,Auburn (NSW),New South Wales,2142,10.9833,8.5637
277,10107,Auburn (NSW),New South Wales,2143,4.3104,8.5637
278,10107,Auburn (NSW),New South Wales,2144,8.5637,8.5637
279,10107,Auburn (NSW),New South Wales,2162,5.7908,8.5637
280,10108,Auburn Vale,New South Wales,2360,3385.2978,63.6472
281,10109,Austinmer,New South Wales,2508,162.241,3.3572
282,10109,Austinmer,New South Wales,2515,14.2268,3.3572
283,10110,Austral,New South Wales,2171,21.5331,17.6611
284,10110,Austral,New South Wales,2178,54.3241,17.6611
285,10110,Austral,New South Wales,2179,36.53,17.6611
286,10110,Austral,New South Wales,2557,37.1205,17.6611
287,10111,Austral Eden,New South Wales,2440,3604.2396,13.6185
288,10112,Avalon Beach,New South Wales,2107,7.8756,5.1524
289,10112,Avalon Beach,New South Wales,2108,2.9542,5.1524
290,10113,Avisford,New South Wales,2850,6005.3758,18.3025
291,10114,Avoca (NSW),New South Wales,2576,174.2442,24.6252
292,10114,Avoca (NSW),New South Wales,2577,1312.519,24.6252
293,10115,Avoca Beach,New South Wales,2251,43.5444,4.4418
294,10115,Avoca Beach,New South Wales,2260,23.6207,4.4418
295,10116,Avon (NSW),New South Wales,2526,132.2947,265.8204
296,10116,Avon (NSW),New South Wales,2530,88.3672,265.8204
297,10116,Avon (NSW),New South Wales,2560,411.3136,265.8204
298,10116,Avon (NSW),New South Wales,2571,250.2842,265.8204
299,10116,Avon (NSW),New South Wales,2574,350.23,265.8204
300,10116,Avon (NSW),New South Wales,2575,981.4743,265.8204
301,10116,Avon (NSW),New South Wales,2576,174.2442,265.8204
302,10116,Avon (NSW),New South Wales,2577,1312.519,265.8204
303,10117,Avondale (NSW),New South Wales,2530,88.3672,18.3129
304,10117,Avondale (NSW),New South Wales,2574,350.23,18.3129
305,10118,Avonside,New South Wales,2627,1994.6112,57.3648
306,10118,Avonside,New South Wales,2628,2337.0094,57.3648
307,10119,Awaba,New South Wales,2264,115.1942,23.1193
308,10119,Awaba,New South Wales,2265,136.0018,23.1193
309,10119,Awaba,New South Wales,2267,3.6556,23.1193
310,10119,Awaba,New South Wales,2278,45.0568,23.1193
311,10119,Awaba,New South Wales,2283,59.2496,23.1193
312,10119,Awaba,New South Wales,2323,207.9467,23.1193
313,10120,Aylmerton,New South Wales,2575,981.4743,2.7956
314,10121,Baan Baa,New South Wales,2382,1826.3389,254.9381
315,10121,Baan Baa,New South Wales,2388,6699.0871,254.9381
316,10121,Baan Baa,New South Wales,2390,4217.1072,254.9381
317,10122,Babinda (NSW),New South Wales,2825,7188.4073,476.2417
318,10122,Babinda (NSW),New South Wales,2831,22389.3649,476.2417
319,10122,Babinda (NSW),New South Wales,2835,29975.1826,476.2417
320,10122,Babinda (NSW),New South Wales,2877,15332.1603,476.2417
321,10123,Babyl Creek,New South Wales,2469,3813.3747,25.8859
322,10123,Babyl Creek,New South Wales,2470,1256.5159,25.8859
323,10124,Back Creek (Bland - NSW),New South Wales,2668,708.1132,449.795
324,10124,Back Creek (Bland - NSW),New South Wales,2671,3297.7351,449.795
325,10124,Back Creek (Bland - NSW),New South Wales,2721,539.5029,449.795
326,10124,Back Creek (Bland - NSW),New South Wales,2810,2658.971,449.795
327,10124,Back Creek (Bland - NSW),New South Wales,2871,3837.8532,449.795
328,10125,Back Creek (Gwydir - NSW),New South Wales,2347,3035.4851,119.9515
329,10125,Back Creek (Gwydir - NSW),New South Wales,2390,4217.1072,119.9515
330,10125,Back Creek (Gwydir - NSW),New South Wales,2404,1992.4546,119.9515
331,10126,Back Creek (Mid-Coast - NSW),New South Wales,2422,3212.5916,31.5289
332,10127,Back Creek (Queanbeyan-Palerang Regional - NSW),New South Wales,2622,4256.1145,39.2653
333,10128,Back Creek (Tenterfield - NSW),New South Wales,2372,4894.7861,200.4098
334,10129,Back Creek (Tweed - NSW),New South Wales,2484,972.2983,7.4364
335,10130,Back Forest,New South Wales,2535,247.9753,5.979
336,10130,Back Forest,New South Wales,2540,1900.6655,5.979
337,10131,Backmede,New South Wales,2470,1256.5159,29.4886
338,10131,Backmede,New South Wales,2474,1537.5939,29.4886
339,10131,Backmede,New South Wales,2480,1369.4565,29.4886
340,10132,Backwater,New South Wales,2350,4543.2274,126.3462
341,10132,Backwater,New South Wales,2365,3804.6687,126.3462
342,10132,Backwater,New South Wales,2370,4769.4223,126.3462
343,10133,Badgerys Creek,New South Wales,2178,54.3241,26.981
344,10133,Badgerys Creek,New South Wales,2555,26.981,26.981
345,10133,Badgerys Creek,New South Wales,2556,40.2134,26.981
346,10133,Badgerys Creek,New South Wales,2745,168.7608,26.981
347,10134,Badja,New South Wales,2545,876.5468,130.2836
348,10134,Badja,New South Wales,2622,4256.1145,130.2836
349,10134,Badja,New South Wales,2630,4206.3548,130.2836
350,10135,Baerami,New South Wales,2328,1634.8508,151.2264
351,10135,Baerami,New South Wales,2329,3056.2045,151.2264
352,10135,Baerami,New South Wales,2333,1691.3907,151.2264
353,10136,Baerami Creek,New South Wales,2328,1634.8508,367.2391
354,10136,Baerami Creek,New South Wales,2333,1691.3907,367.2391
355,10137,Bagnoo,New South Wales,2446,2233.1607,37.7957
356,10138,Bago,New South Wales,2439,362.4229,63.0427
357,10138,Bago,New South Wales,2446,2233.1607,63.0427
358,10139,Bagotville,New South Wales,2471,442.1506,9.9221
359,10139,Bagotville,New South Wales,2472,466.4076,9.9221
360,10139,Bagotville,New South Wales,2477,227.642,9.9221
361,10139,Bagotville,New South Wales,2480,1369.4565,9.9221
362,10140,Bakers Creek (Mid-Coast - NSW),New South Wales,2422,3212.5916,40.4685
363,10141,Bakers Creek (Nambucca Valley - NSW),New South Wales,2440,3604.2396,57.2165
364,10141,Bakers Creek (Nambucca Valley - NSW),New South Wales,2441,992.7849,57.2165
365,10141,Bakers Creek (Nambucca Valley - NSW),New South Wales,2447,566.6442,57.2165
366,10142,Bakers Creek (Uralla - NSW),New South Wales,2346,1967.8028,161.5919
367,10142,Bakers Creek (Uralla - NSW),New South Wales,2347,3035.4851,161.5919
368,10142,Bakers Creek (Uralla - NSW),New South Wales,2358,1905.5433,161.5919
369,10142,Bakers Creek (Uralla - NSW),New South Wales,2359,1294.1139,161.5919
370,10143,Bakers Swamp,New South Wales,2820,2438.751,136.4942
371,10143,Bakers Swamp,New South Wales,2866,1198.7089,136.4942
372,10143,Bakers Swamp,New South Wales,2867,1042.378,136.4942
373,10143,Bakers Swamp,New South Wales,2868,777.9814,136.4942
374,10144,Balaclava (NSW),New South Wales,2575,981.4743,2.376
375,10145,Balala,New South Wales,2354,7142.1491,357.1643
376,10145,Balala,New South Wales,2355,918.5516,357.1643
377,10145,Balala,New South Wales,2358,1905.5433,357.1643
378,10146,Balcolyn,New South Wales,2264,115.1942,0.7391
379,10147,Bald Blair,New South Wales,2350,4543.2274,101.2316
380,10147,Bald Blair,New South Wales,2365,3804.6687,101.2316
381,10148,Bald Hills (NSW),New South Wales,2549,222.9511,10.7141
382,10148,Bald Hills (NSW),New South Wales,2550,3966.6591,10.7141
383,10149,Bald Nob,New South Wales,2370,4769.4223,77.4933
384,10150,Bald Ridge,New South Wales,2583,3382.6891,135.8045
385,10150,Bald Ridge,New South Wales,2795,5307.5248,135.8045
386,10151,Baldersleigh,New South Wales,2350,4543.2274,164.3569
387,10151,Baldersleigh,New South Wales,2359,1294.1139,164.3569
388,10151,Baldersleigh,New South Wales,2365,3804.6687,164.3569
389,10152,Baldry,New South Wales,2865,620.1745,473.5339
390,10152,Baldry,New South Wales,2867,1042.378,473.5339
391,10152,Baldry,New South Wales,2868,777.9814,473.5339
392,10152,Baldry,New South Wales,2869,2103.7978,473.5339
393,10152,Baldry,New South Wales,2870,2453.9995,473.5339
394,10153,Balfours Peak,New South Wales,2360,3385.2978,170.9276
395,10153,Balfours Peak,New South Wales,2402,1631.0064,170.9276
396,10153,Balfours Peak,New South Wales,2403,1006.9407,170.9276
397,10154,Balgowlah,New South Wales,2092,3.1079,1.959
398,10154,Balgowlah,New South Wales,2093,7.529,1.959
399,10154,Balgowlah,New South Wales,2094,1.1683,1.959
400,10155,Balgowlah Heights,New South Wales,2093,7.529,1.6838
401,10156,Balgownie,New South Wales,2500,27.1582,3.7153
402,10156,Balgownie,New South Wales,2518,12.7193,3.7153
403,10156,Balgownie,New South Wales,2519,9.2816,3.7153
404,10157,Balickera,New South Wales,2318,259.5244,27.4725
405,10157,Balickera,New South Wales,2321,361.6288,27.4725
406,10157,Balickera,New South Wales,2324,627.1611,27.4725
407,10158,Balladoran,New South Wales,2822,501.7243,243.1277
408,10158,Balladoran,New South Wales,2827,2964.6885,243.1277
409,10158,Balladoran,New South Wales,2830,3017.4938,243.1277
410,10159,Ballalaba,New South Wales,2622,4256.1145,43.7739
411,10160,Balldale,New South Wales,2642,4076.8,191.2906
412,10160,Balldale,New South Wales,2643,156.4024,191.2906
413,10160,Balldale,New South Wales,2646,2895.4549,191.2906
414,10161,Ballengarra,New South Wales,2441,992.7849,23.3563
415,10161,Ballengarra,New South Wales,2446,2233.1607,23.3563
416,10162,Ballimore,New South Wales,2818,471.7655,229.3129
417,10162,Ballimore,New South Wales,2820,2438.751,229.3129
418,10162,Ballimore,New South Wales,2830,3017.4938,229.3129
419,10162,Ballimore,New South Wales,2831,22389.3649,229.3129
420,10163,Ballina,New South Wales,2478,185.6804,20.468
421,10164,Ballyroe,New South Wales,2583,3382.6891,82.9191
422,10164,Ballyroe,New South Wales,2795,5307.5248,82.9191
423,10165,Balmain,New South Wales,2039,1.8337,1.5378
424,10165,Balmain,New South Wales,2041,2.4666,1.5378
425,10166,Balmain East,New South Wales,2041,2.4666,0.343
426,10167,Balmoral (Lake Macquarie - NSW),New South Wales,2283,59.2496,0.8572
427,10168,Balmoral (Wingecarribee - NSW),New South Wales,2571,250.2842,26.3216
428,10168,Balmoral (Wingecarribee - NSW),New South Wales,2574,350.23,26.3216
429,10168,Balmoral (Wingecarribee - NSW),New South Wales,2575,981.4743,26.3216
430,10169,Balranald,New South Wales,2711,24180.255,5203.5484
431,10169,Balranald,New South Wales,2715,13749.9032,5203.5484
432,10169,Balranald,New South Wales,2737,3345.8754,5203.5484
433,10170,Bamarang,New South Wales,2540,1900.6655,11.8092
434,10171,Banda Banda,New South Wales,2440,3604.2396,70.5119
435,10171,Banda Banda,New South Wales,2441,992.7849,70.5119
436,10171,Banda Banda,New South Wales,2446,2233.1607,70.5119
437,10172,Bandon Grove,New South Wales,2420,1023.5128,50.4499
