Postcode,SA4,Rented Households,Postcode Totals,SA4 Totals,Postcode Fraction,SA4 Fraction,SA4_CODE21,SA4_NAME21,GCC_NAME21,STE_NAME21
2018,Sydney - City and Inner South,4153.0,4153.0,86381.0,1.0,0.04807770227249048,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2019,Sydney - City and Inner South,1911.0,1911.0,86381.0,1.0,0.02212292054965791,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2020,Sydney - City and Inner South,4668.0,4668.0,86381.0,1.0,0.054039661499635336,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2021,Sydney - Eastern Suburbs,3098.0,3098.0,47025.0,1.0,0.06587985114300904,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2022,Sydney - Eastern Suburbs,2736.0,2736.0,47025.0,1.0,0.05818181818181818,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2023,Sydney - Eastern Suburbs,1359.0,1359.0,47025.0,1.0,0.028899521531100477,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2024,Sydney - Eastern Suburbs,1706.0,1706.0,47025.0,1.0,0.036278575225943646,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2025,Sydney - Eastern Suburbs,1057.0,1057.0,47025.0,1.0,0.022477405635300374,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2026,Sydney - Eastern Suburbs,7740.0,7740.0,47025.0,1.0,0.1645933014354067,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2027,Sydney - Eastern Suburbs,1440.0,1440.0,47025.0,1.0,0.03062200956937799,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2028,Sydney - Eastern Suburbs,925.0,925.0,47025.0,1.0,0.019670388091440724,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2029,Sydney - Eastern Suburbs,1710.0,1710.0,47025.0,1.0,0.03636363636363636,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2030,Sydney - Eastern Suburbs,1146.0,1146.0,47025.0,1.0,0.024370015948963316,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2031,Sydney - Eastern Suburbs,6690.0,6690.0,47025.0,1.0,0.1422647527910686,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2032,Sydney - City and Inner South,394.0,3012.0,86381.0,0.13081009296148738,0.00456118822426228,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2032,Sydney - Eastern Suburbs,2618.0,3012.0,47025.0,0.8691899070385126,0.05567251461988304,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2033,Sydney - Eastern Suburbs,2416.0,2416.0,47025.0,1.0,0.05137692716640085,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2034,Sydney - Eastern Suburbs,4378.0,4378.0,47025.0,1.0,0.09309941520467836,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2035,Sydney - City and Inner South,335.0,5471.0,86381.0,0.061231950283312006,0.0038781676526087913,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2035,Sydney - Eastern Suburbs,5136.0,5471.0,47025.0,0.938768049716688,0.10921850079744816,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2036,Sydney - City and Inner South,2212.0,5082.0,86381.0,0.43526170798898073,0.025607483127076554,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2036,Sydney - Eastern Suburbs,2870.0,5082.0,47025.0,0.5647382920110193,0.061031366294524186,118,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2037,Sydney - City and Inner South,4662.0,4662.0,86381.0,1.0,0.05397020178048413,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2038,Sydney - City and Inner South,4.0,1602.0,86381.0,0.0024968789013732834,4.630647943413482e-05,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2038,Sydney - Inner West,1598.0,1602.0,49176.0,0.9975031210986267,0.03249552627297869,120,Sydney - Inner West,Greater Sydney,New South Wales
2039,Sydney - Inner West,1444.0,1444.0,49176.0,1.0,0.02936391735806084,120,Sydney - Inner West,Greater Sydney,New South Wales
2040,Sydney - Inner West,3492.0,3492.0,49176.0,1.0,0.07101024890190337,120,Sydney - Inner West,Greater Sydney,New South Wales
2041,Sydney - Inner West,2562.0,2562.0,49176.0,1.0,0.05209858467545144,120,Sydney - Inner West,Greater Sydney,New South Wales
2042,Sydney - City and Inner South,4617.0,4617.0,86381.0,1.0,0.053449253886850116,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2043,Sydney - City and Inner South,2434.0,2434.0,86381.0,1.0,0.02817749273567104,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2044,Sydney - City and Inner South,1172.0,1172.0,86381.0,1.0,0.013567798474201503,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2045,Sydney - Inner West,386.0,386.0,49176.0,1.0,0.007849357410118758,120,Sydney - Inner West,Greater Sydney,New South Wales
2046,Sydney - Inner West,3595.0,3595.0,49176.0,1.0,0.07310476655278998,120,Sydney - Inner West,Greater Sydney,New South Wales
2047,Sydney - Inner West,1779.0,1779.0,49176.0,1.0,0.03617618350414836,120,Sydney - Inner West,Greater Sydney,New South Wales
2048,Sydney - City and Inner South,1422.0,1422.0,86381.0,1.0,0.016461953438834928,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2049,Sydney - City and Inner South,1750.0,2547.0,86381.0,0.6870828425598744,0.020259084752433983,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2049,Sydney - Inner West,797.0,2547.0,49176.0,0.31291715744012566,0.01620709289084106,120,Sydney - Inner West,Greater Sydney,New South Wales
2050,Sydney - City and Inner South,2490.0,2490.0,86381.0,1.0,0.028825783447748925,117,Sydney - City and Inner South,Greater Sydney,New South Wales
2060,Sydney - North Sydney and Hornsby,4111.0,4111.0,54475.0,1.0,0.07546581000458927,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2061,Sydney - North Sydney and Hornsby,1921.0,1921.0,54475.0,1.0,0.0352638825149151,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2062,Sydney - North Sydney and Hornsby,1275.0,1275.0,54475.0,1.0,0.023405231757687012,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2063,Sydney - North Sydney and Hornsby,427.0,427.0,54475.0,1.0,0.00783845800826067,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2064,Sydney - North Sydney and Hornsby,1817.0,1817.0,54475.0,1.0,0.03335474988526847,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2065,Sydney - North Sydney and Hornsby,7164.0,7164.0,54475.0,1.0,0.13150986691142727,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2066,Sydney - North Sydney and Hornsby,4515.0,4515.0,54475.0,1.0,0.08288205598898578,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2067,Sydney - North Sydney and Hornsby,4906.0,4906.0,54475.0,1.0,0.09005966039467646,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2068,Sydney - North Sydney and Hornsby,1484.0,1484.0,54475.0,1.0,0.0272418540614961,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2069,Sydney - North Sydney and Hornsby,1055.0,1055.0,54475.0,1.0,0.019366681964203762,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2070,Sydney - North Sydney and Hornsby,1235.0,1235.0,54475.0,1.0,0.022670949977053694,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
