SA4 Code 2021,SA4 Name,LGA Code 2021,LGA,LGA - Converted,State,Gcc Name21,LGA Area (sq km),SA4 Area (sq km),Row Number
101,Capital Region,10470,Bathurst Regional,Bathurst,New South Wales,Rest of NSW,3817.8645,51896.2444,1
101,Capital Region,10550,Bega Valley,Bega Valley,New South Wales,Rest of NSW,6278.5013,51896.2444,2
101,Capital Region,10800,Bland,Bland,New South Wales,Rest of NSW,8557.6536,51896.2444,3
101,Capital Region,12160,Cootamundra-Gundagai Regional,Cootamundra-Gundagai,New South Wales,Rest of NSW,3981.4172,51896.2444,4
101,Capital Region,12350,Cowra,Cowra,New South Wales,Rest of NSW,2808.7821,51896.2444,5
101,Capital Region,12750,Eurobodalla,Eurobodalla,New South Wales,Rest of NSW,3428.1695,51896.2444,6
101,Capital Region,13310,Goulburn Mulwaree,Goulburn Mulwaree,New South Wales,Rest of NSW,3220.0796,51896.2444,7
101,Capital Region,13910,Hilltops,Hilltops,New South Wales,Rest of NSW,7140.8865,51896.2444,8
101,Capital Region,16100,Oberon,Oberon,New South Wales,Rest of NSW,3625.047,51896.2444,9
101,Capital Region,16490,Queanbeyan-Palerang Regional,Queanbeyan-Palerang,New South Wales,Rest of NSW,5319.0075,51896.2444,10
101,Capital Region,16950,Shoalhaven,Shoalhaven,New South Wales,Rest of NSW,4567.2011,51896.2444,11
101,Capital Region,17040,Snowy Monaro Regional,Snowy Monaro,New South Wales,Rest of NSW,15164.7904,51896.2444,12
101,Capital Region,17080,Snowy Valleys,Snowy Valleys,New South Wales,Rest of NSW,8958.9215,51896.2444,13
101,Capital Region,17350,Temora,Temora,New South Wales,Rest of NSW,2802.0159,51896.2444,14
101,Capital Region,17640,Upper Lachlan Shire,Upper Lachlan,New South Wales,Rest of NSW,7127.3957,51896.2444,15
101,Capital Region,18100,Weddin,Weddin,New South Wales,Rest of NSW,3414.8566,51896.2444,16
101,Capital Region,18350,Wingecarribee,Wingecarribee,New South Wales,Rest of NSW,2689.3415,51896.2444,17
101,Capital Region,18400,Wollondilly,Wollondilly,New South Wales,Rest of NSW,2555.4341,51896.2444,18
101,Capital Region,18710,Yass Valley,Yass Valley,New South Wales,Rest of NSW,3995.017,51896.2444,19
101,Capital Region,22110,East Gippsland,East Gippsland,Victoria,Rest of NSW,20939.5016,51896.2444,20
101,Capital Region,89399,Unincorporated ACT,Unincorporated ACT,Australian Capital Territory,Rest of NSW,2358.133,51896.2444,21
102,Central Coast,11650,Central Coast (NSW),Central Coast (NSW),New South Wales,Greater Sydney,1681.0059,1681.0088,22
102,Central Coast,11720,Cessnock,Cessnock,New South Wales,Greater Sydney,1965.1593,1681.0088,23
102,Central Coast,13800,Hawkesbury,Hawkesbury,New South Wales,Greater Sydney,2775.1378,1681.0088,24
102,Central Coast,14000,Hornsby,Hornsby,New South Wales,Greater Sydney,455.0374,1681.0088,25
102,Central Coast,14650,Lake Macquarie,Lake Macquarie,New South Wales,Greater Sydney,648.6393,1681.0088,26
102,Central Coast,17420,The Hills Shire,The Hills,New South Wales,Greater Sydney,386.1583,1681.0088,27
103,Central West,10470,Bathurst Regional,Bathurst,New South Wales,Rest of NSW,3817.8645,70297.06,28
103,Central West,10800,Bland,Bland,New South Wales,Rest of NSW,8557.6536,70297.06,29
103,Central West,10850,Blayney,Blayney,New South Wales,Rest of NSW,1524.647,70297.06,30
103,Central West,10900,Blue Mountains,Blue Mountains,New South Wales,Rest of NSW,1431.1442,70297.06,31
103,Central West,10950,Bogan,Bogan,New South Wales,Rest of NSW,14599.8996,70297.06,32
103,Central West,11400,Cabonne,Cabonne,New South Wales,Rest of NSW,6022.3496,70297.06,33
103,Central West,11600,Carrathool,Carrathool,New South Wales,Rest of NSW,18934.4853,70297.06,34
103,Central West,11750,Cobar,Cobar,New South Wales,Rest of NSW,45575.3512,70297.06,35
103,Central West,12000,Coolamon,Coolamon,New South Wales,Rest of NSW,2430.9037,70297.06,36
103,Central West,12350,Cowra,Cowra,New South Wales,Rest of NSW,2808.7821,70297.06,37
103,Central West,12390,Dubbo Regional,Dubbo,New South Wales,Rest of NSW,7534.5251,70297.06,38
103,Central West,12900,Forbes,Forbes,New South Wales,Rest of NSW,4710.128,70297.06,39
103,Central West,13800,Hawkesbury,Hawkesbury,New South Wales,Rest of NSW,2775.1378,70297.06,40
103,Central West,13910,Hilltops,Hilltops,New South Wales,Rest of NSW,7140.8865,70297.06,41
103,Central West,14600,Lachlan,Lachlan,New South Wales,Rest of NSW,14968.2539,70297.06,42
103,Central West,14870,Lithgow,Lithgow,New South Wales,Rest of NSW,4512.2561,70297.06,43
103,Central West,15270,Mid-Western Regional,Mid-Western,New South Wales,Rest of NSW,8752.2589,70297.06,44
103,Central West,15650,Muswellbrook,Muswellbrook,New South Wales,Rest of NSW,3404.8841,70297.06,45
103,Central West,15800,Narrandera,Narrandera,New South Wales,Rest of NSW,4116.3458,70297.06,46
