Postcode,LGA,Rented Households,Postcode Totals,LGA Totals,Postcode Fraction,LGA Fraction
2018,Bayside (NSW),1551.0,4152.0,27576.0,0.3735549132947977,0.05624456048738033
2018,Sydney,2601.0,4152.0,63630.0,0.6264450867052023,0.040876944837340876
2019,Bayside (NSW),1911.0,1911.0,27576.0,1.0,0.06929939077458659
2020,Bayside (NSW),4668.0,4668.0,27576.0,1.0,0.16927763272410792
2021,Sydney,1125.0,3096.0,63630.0,0.3633720930232558,0.01768033946251768
2021,Woollahra,1971.0,3096.0,8199.0,0.6366279069767442,0.24039517014270034
2022,Waverley,2736.0,2736.0,13591.0,1.0,0.20130969023618572
2023,Woollahra,1359.0,1359.0,8199.0,1.0,0.16575192096597147
2024,Waverley,1706.0,1706.0,13591.0,1.0,0.12552424398499007
2025,Woollahra,1057.0,1057.0,8199.0,1.0,0.12891816075131113
2026,Waverley,7740.0,7740.0,13591.0,1.0,0.5694945184313148
2027,Woollahra,1440.0,1440.0,8199.0,1.0,0.1756311745334797
2028,Woollahra,925.0,925.0,8199.0,1.0,0.1128186364190755
2029,Waverley,744.0,1711.0,13591.0,0.434833430742256,0.05474210874843646
2029,Woollahra,967.0,1711.0,8199.0,0.565166569257744,0.11794121234296866
2030,Waverley,665.0,1145.0,13591.0,0.5807860262008734,0.048929438599072915
2030,Woollahra,480.0,1145.0,8199.0,0.4192139737991266,0.05854372484449323
2031,Randwick,6690.0,6690.0,24104.0,1.0,0.2775472950547627
2032,Bayside (NSW),394.0,3012.0,27576.0,0.13081009296148738,0.014287786480997969
2032,Randwick,2618.0,3012.0,24104.0,0.8691899070385126,0.1086126783936276
2033,Randwick,2416.0,2416.0,24104.0,1.0,0.1002323265847992
2034,Randwick,4378.0,4378.0,24104.0,1.0,0.18162960504480585
2035,Bayside (NSW),335.0,5471.0,27576.0,0.061231950283312006,0.01214824485059472
2035,Randwick,5136.0,5471.0,24104.0,0.938768049716688,0.21307666777298373
2036,Bayside (NSW),2208.0,5074.0,27576.0,0.4351596373669689,0.08006962576153177
2036,Randwick,2866.0,5074.0,24104.0,0.5648403626330312,0.11890142714902091
2037,Sydney,4662.0,4662.0,63630.0,1.0,0.07326732673267326
2038,Inner West,1600.0,1608.0,32785.0,0.9950248756218906,0.04880280616135428
