Postcode,Commonwealth Electorate,Rented Households,Postcode Totals,Commonwealth Electorate Totals,Postcode Fraction,Commonwealth Electorate Fraction,POA_NAME_2016,CED_NAME_2016,POA_2016_2021_RATIO,CED_2016_2021_RATIO
2551,Eden-Monaro,429,429,13534,1.0,0.031697945913994385,2551,Eden-Monaro,1.0,0.9999922
2555,Werriwa,21,21,13352,1.0,0.001572798082684242,2555,Werriwa,1.0,1.0
2556,Macarthur,26,125,15438,0.208,0.0016841559787537247,2556,Macarthur,1.0,0.9982202
2556,Hume,56,125,9526,0.448,0.005878647910980474,2556,Hume,1.0,0.9982563
2556,Werriwa,43,125,13352,0.344,0.003220491312162972,2556,Werriwa,1.0,1.0
2557,Macarthur,396,535,15438,0.7401869158878505,0.02565099106101827,2557,Macarthur,1.0,0.9982202
2557,Werriwa,139,535,13352,0.25981308411214954,0.010410425404433793,2557,Werriwa,1.0,1.0
2558,Macarthur,716,716,15438,1.0,0.046379064645679494,2558,Macarthur,1.0,0.9982202
2559,Macarthur,613,613,15438,1.0,0.03970721596061666,2559,Macarthur,1.0,0.9982202
2560,Hume,104,8409,9526,0.012367701272446189,0.010917488977535167,2560,Hume,1.0,0.9982563
2560,Macarthur,8305,8409,15438,0.9876322987275538,0.5379582847519109,2560,Macarthur,1.0,0.9982202
2563,Macarthur,39,39,15438,1.0,0.0025262339681305867,2563,Macarthur,1.0,0.9982202
2564,Werriwa,1789,1789,13352,1.0,0.13398741761533853,2564,Werriwa,1.0,1.0
2565,Werriwa,221,1818,13352,0.12156215621562157,0.016551827441581787,2565,Werriwa,0.9967247,1.0
2565,Macarthur,1597,1818,15438,0.8784378437843784,0.10344604223344993,2565,Macarthur,0.9967247,0.9982202
2566,Macarthur,2187,2187,15438,1.0,0.14166342790516906,2566,Macarthur,1.0,0.9982202
2567,Macarthur,837,2279,15438,0.36726634488810883,0.05421686746987952,2567,Macarthur,0.9930282,0.9982202
2567,Hume,1442,2279,9526,0.6327336551118912,0.15137518370774722,2567,Hume,0.9930282,0.9982563
2568,Hume,30,30,9526,1.0,0.003149275666596683,2568,Hume,1.0,0.9982563
2569,Hume,38,38,9526,1.0,0.0039890825110224645,2569,Hume,1.0,0.9982563
2570,Macarthur,425,2292,15438,0.18542757417102967,0.02752947272962819,2570,Macarthur,0.9999802,0.9982202
2570,Hume,1867,2292,9526,0.8145724258289704,0.19598992231786688,2570,Hume,0.9999802,0.9982563
2571,Hume,511,511,9526,1.0,0.05364266218769683,2571,Hume,1.0,0.9982563
2572,Hume,255,255,9526,1.0,0.026768843166071803,2572,Hume,1.0,0.9982563
2573,Hume,493,493,9526,1.0,0.05175309678773882,2573,Hume,1.0,0.9982563
2574,Hume,246,246,9526,1.0,0.0258240604660928,2574,Hume,1.0,0.9982563
2575,Hume,279,1083,9526,0.25761772853185594,0.02928826369934915,2575,Hume,1.0,0.9982563
