,Postcode,SED,Rented Households,Postcode Totals,SED Totals,Postcode Fraction,SED Fraction
3473,0873,Namatjira,449.0,449.0,1689.0,1.0,0.26583777383066903
3474,0874,Namatjira,126.0,126.0,1689.0,1.0,0.07460035523978685
3475,0875,Namatjira,390.0,390.0,1689.0,1.0,0.23090586145648312
3431,0880,Arnhem,109.0,829.0,1586.0,0.13148371531966224,0.06872635561160151
3471,0880,Mulka,720.0,829.0,1295.0,0.8685162846803377,0.555984555984556
3432,0885,Arnhem,152.0,152.0,1586.0,1.0,0.09583858764186633
3426,0886,Arafura,242.0,242.0,1540.0,1.0,0.15714285714285714
553,2000,Newtown,6.0,8416.0,20698.0,0.0007129277566539924,0.0002898830804908687
729,2000,Sydney,8410.0,8416.0,30332.0,0.999287072243346,0.2772649347224054
40,2007,Balmain,1708.0,2022.0,16844.0,0.8447082096933729,0.10140109237710758
730,2007,Sydney,314.0,2022.0,30332.0,0.1552917903066271,0.010352103389159963
554,2008,Newtown,3374.0,3374.0,20698.0,1.0,0.16301091892936515
41,2009,Balmain,109.0,3489.0,16844.0,0.03124104327887647,0.006471146995962954
731,2009,Sydney,3380.0,3489.0,30332.0,0.9687589567211236,0.11143346960305947
732,2010,Sydney,8558.0,8558.0,30332.0,1.0,0.2821442700778056
733,2011,Sydney,6572.0,6572.0,30332.0,1.0,0.2166688645654754
339,2015,Heffron,2099.0,2812.0,24477.0,0.7464438122332859,0.08575397311762062
555,2015,Newtown,713.0,2812.0,20698.0,0.25355618776671407,0.0344477727316649
556,2016,Newtown,3690.0,3690.0,20698.0,1.0,0.17827809450188423
340,2017,Heffron,10169.0,10241.0,24477.0,0.9929694365784592,0.4154512399395351
557,2017,Newtown,72.0,10241.0,20698.0,0.007030563421540865,0.003478596965890424
341,2018,Heffron,4153.0,4153.0,24477.0,1.0,0.16966948563958
466,2019,Maroubra,1911.0,1911.0,13546.0,1.0,0.14107485604606526
342,2020,Heffron,4668.0,4668.0,24477.0,1.0,0.19070964578992525
734,2021,Sydney,3098.0,3098.0,30332.0,1.0,0.10213635764209415
203,2022,Coogee,2425.0,2727.0,18417.0,0.8892555922258892,0.1316718249443449
786,2022,Vaucluse,302.0,2727.0,14578.0,0.11074440777411075,0.02071614761970092
787,2023,Vaucluse,1359.0,1359.0,14578.0,1.0,0.09322266428865414
204,2024,Coogee,1706.0,1706.0,18417.0,1.0,0.09263180756909377
788,2025,Vaucluse,1057.0,1057.0,14578.0,1.0,0.07250651666895322
205,2026,Coogee,1103.0,7742.0,18417.0,0.14246964608628263,0.05989031872726285
789,2026,Vaucluse,6639.0,7742.0,14578.0,0.8575303539137173,0.4554122650569351
790,2027,Vaucluse,1440.0,1440.0,14578.0,1.0,0.09877898202771299
791,2028,Vaucluse,925.0,925.0,14578.0,1.0,0.06345177664974619
792,2029,Vaucluse,1710.0,1710.0,14578.0,1.0,0.11730004115790918
793,2030,Vaucluse,1146.0,1146.0,14578.0,1.0,0.07861160653038826
206,2031,Coogee,6690.0,6690.0,18417.0,1.0,0.3632513438670793
207,2032,Coogee,1321.0,3010.0,18417.0,0.4388704318936877,0.07172720855731118
343,2032,Heffron,754.0,3010.0,24477.0,0.2504983388704319,0.030804428647301547
467,2032,Maroubra,935.0,3010.0,13546.0,0.3106312292358804,0.06902406614498745
208,2033,Coogee,951.0,2413.0,18417.0,0.39411520928305016,0.05163707444209155
344,2033,Heffron,1462.0,2413.0,24477.0,0.6058847907169499,0.05972954201903828
209,2034,Coogee,4221.0,4379.0,18417.0,0.9639187029002055,0.2291904218928164
468,2034,Maroubra,158.0,4379.0,13546.0,0.036081297099794477,0.011663959840543334
469,2035,Maroubra,5466.0,5466.0,13546.0,1.0,0.40351395245829025
470,2036,Maroubra,5076.0,5076.0,13546.0,1.0,0.3747231655101137
42,2037,Balmain,4662.0,4662.0,16844.0,1.0,0.27677511279981004
43,2038,Balmain,1607.0,1607.0,16844.0,1.0,0.09540489194965567
44,2039,Balmain,1444.0,1444.0,16844.0,1.0,0.08572785561624317
45,2040,Balmain,3492.0,3492.0,16844.0,1.0,0.20731417715507006
46,2041,Balmain,2562.0,2562.0,16844.0,1.0,0.15210163856566136
558,2042,Newtown,4617.0,4617.0,20698.0,1.0,0.22306503043772344
559,2043,Newtown,2434.0,2434.0,20698.0,1.0,0.11759590298579572
345,2044,Heffron,1172.0,1172.0,24477.0,1.0,0.04788168484699922
716,2045,Summer Hill,386.0,386.0,14347.0,1.0,0.0269045793545689
258,2046,Drummoyne,3595.0,3595.0,12670.0,1.0,0.28374112075769536
259,2047,Drummoyne,1779.0,1779.0,12670.0,1.0,0.14041041831097079
560,2048,Newtown,1422.0,1422.0,20698.0,1.0,0.06870229007633588
561,2049,Newtown,2514.0,2544.0,20698.0,0.9882075471698113,0.12146101072567397
717,2049,Summer Hill,30.0,2544.0,14347.0,0.01179245283018868,0.0020910294835157174
47,2050,Balmain,1260.0,2491.0,16844.0,0.5058209554395825,0.0748040845404892
562,2050,Newtown,1231.0,2491.0,20698.0,0.4941790445604175,0.059474345347376556
565,2060,North Shore,4061.0,4109.0,17313.0,0.9883183256266732,0.23456362271125744
828,2060,Willoughby,48.0,4109.0,14647.0,0.011681674373326843,0.003277121594865843
566,2061,North Shore,1921.0,1921.0,17313.0,1.0,0.11095708427193439
829,2062,Willoughby,1275.0,1275.0,14647.0,1.0,0.08704854236362396
830,2063,Willoughby,427.0,427.0,14647.0,1.0,0.02915272752099406
831,2064,Willoughby,1817.0,1817.0,14647.0,1.0,0.12405270703898409
403,2065,Lane Cove,1035.0,7163.0,10886.0,0.14449253106240403,0.09507624471798641
567,2065,North Shore,3528.0,7163.0,17313.0,0.49253106240402067,0.20377750823080923
832,2065,Willoughby,2600.0,7163.0,14647.0,0.3629764065335753,0.17751075305523314
404,2066,Lane Cove,4363.0,4518.0,10886.0,0.965692784417884,0.4007900055116664
833,2066,Willoughby,155.0,4518.0,14647.0,0.03430721558211598,0.010582371816754284
405,2067,Lane Cove,16.0,4906.0,10886.0,0.003261312678353037,0.0014697776961234614
834,2067,Willoughby,4890.0,4906.0,14647.0,0.9967386873216469,0.3338567624769577
835,2068,Willoughby,1484.0,1484.0,14647.0,1.0,0.10131767597460231
249,2069,Davidson,791.0,1048.0,6085.0,0.7547709923664122,0.12999178307313064
836,2069,Willoughby,257.0,1048.0,14647.0,0.2452290076335878,0.0175462552058442
250,2070,Davidson,1235.0,1235.0,6085.0,1.0,0.2029580936729663
251,2071,Davidson,1056.0,1056.0,6085.0,1.0,0.17354149548069023
252,2072,Davidson,1143.0,1143.0,6085.0,1.0,0.18783894823336073
253,2073,Davidson,40.0,991.0,6085.0,0.04036326942482341,0.00657354149548069
807,2073,Wahroonga,951.0,991.0,7185.0,0.9596367305751766,0.1323590814196242
254,2074,Davidson,186.0,1246.0,6085.0,0.1492776886035313,0.03056696795398521
808,2074,Wahroonga,1060.0,1246.0,7185.0,0.8507223113964687,0.1475295755045233
255,2075,Davidson,1125.0,1129.0,6085.0,0.9964570416297609,0.1848808545603944
809,2075,Wahroonga,4.0,1129.0,7185.0,0.00354295837023915,0.0005567153792623522
810,2076,Wahroonga,1417.0,1417.0,7185.0,1.0,0.19721642310368823
350,2077,Hornsby,3844.0,6284.0,6643.0,0.6117122851686824,0.5786542224898389
811,2077,Wahroonga,2440.0,6284.0,7185.0,0.38828771483131763,0.3395963813500348
351,2079,Hornsby,470.0,470.0,6643.0,1.0,0.0707511666415776
352,2080,Hornsby,72.0,72.0,6643.0,1.0,0.01083847659190125
353,2081,Hornsby,209.0,209.0,6643.0,1.0,0.03146168899593557
354,2082,Hornsby,197.0,197.0,6643.0,1.0,0.029655276230618696
299,2083,Gosford,51.0,143.0,11414.0,0.35664335664335667,0.0044681969511126685
355,2083,Hornsby,92.0,143.0,6643.0,0.6433566433566433,0.01384916453409604
645,2084,Pittwater,189.0,189.0,5388.0,1.0,0.03507795100222717
256,2085,Davidson,310.0,396.0,6085.0,0.7828282828282829,0.05094494658997535
813,2085,Wakehurst,86.0,396.0,6814.0,0.21717171717171718,0.012621074258878779
257,2086,Davidson,199.0,687.0,6085.0,0.28966521106259097,0.032703368940016436
814,2086,Wakehurst,488.0,687.0,6814.0,0.710334788937409,0.07161725858526563
815,2087,Wakehurst,747.0,747.0,6814.0,1.0,0.10962723803933079
568,2088,North Shore,3856.0,3856.0,17313.0,1.0,0.2227228094495466
569,2089,North Shore,2464.0,2835.0,17313.0,0.8691358024691358,0.14232079939929532
837,2089,Willoughby,371.0,2835.0,14647.0,0.1308641975308642,0.025329418993650578
570,2090,North Shore,1483.0,2806.0,17313.0,0.5285103349964362,0.08565817593715705
838,2090,Willoughby,1323.0,2806.0,14647.0,0.4714896650035638,0.09032566395848979
459,2092,Manly,369.0,369.0,12887.0,1.0,0.028633506634593
460,2093,Manly,2299.0,2299.0,12887.0,1.0,0.17839683401877862
461,2094,Manly,843.0,843.0,12887.0,1.0,0.06541475905951734
462,2095,Manly,3633.0,3633.0,12887.0,1.0,0.28191200434546443
463,2096,Manly,2166.0,2166.0,12887.0,1.0,0.16807635601769225
816,2097,Wakehurst,1222.0,1222.0,6814.0,1.0,0.17933665981802172
464,2099,Manly,3317.0,6102.0,12887.0,0.5435922648312029,0.2573911693955149
817,2099,Wakehurst,2785.0,6102.0,6814.0,0.4564077351687971,0.40871734663927206
465,2100,Manly,260.0,1689.0,12887.0,0.15393724097098876,0.020175370528439512
818,2100,Wakehurst,1429.0,1689.0,6814.0,0.8460627590290113,0.2097152920457881
646,2101,Pittwater,1961.0,2018.0,5388.0,0.9717542120911794,0.3639569413511507
819,2101,Wakehurst,57.0,2018.0,6814.0,0.028245787908820614,0.008365130613442911
647,2102,Pittwater,488.0,488.0,5388.0,1.0,0.09057164068299926
648,2103,Pittwater,879.0,879.0,5388.0,1.0,0.1631403118040089
649,2104,Pittwater,112.0,112.0,5388.0,1.0,0.020786933927245732
650,2105,Pittwater,68.0,68.0,5388.0,1.0,0.012620638455827766
651,2106,Pittwater,827.0,827.0,5388.0,1.0,0.1534892353377877
652,2107,Pittwater,744.0,744.0,5388.0,1.0,0.13808463251670378
653,2108,Pittwater,120.0,120.0,5388.0,1.0,0.022271714922048998
406,2110,Lane Cove,672.0,672.0,10886.0,1.0,0.061730663237185374
407,2111,Lane Cove,2251.0,2251.0,10886.0,1.0,0.20677934962336947
408,2112,Lane Cove,1207.0,5920.0,10886.0,0.20388513513513515,0.11087635495131361
691,2112,Ryde,4713.0,5920.0,17598.0,0.7961148648648648,0.2678145243777702
409,2113,Lane Cove,1342.0,5151.0,10886.0,0.26053193554649584,0.12327760426235532
692,2113,Ryde,3809.0,5151.0,17598.0,0.7394680644535042,0.21644505057392885
631,2114,Parramatta,121.0,4158.0,26901.0,0.0291005291005291,0.004497974053009182
