Postcode,GCCSA,Rented Households,Postcode Totals,GCCSA Totals,Postcode Fraction,GCCSA Fraction,POA_NAME_2016,GCCSA_NAME_2016,POA_2016_2021_RATIO,GCCSA_2016_2021_RATIO
2075,Greater Sydney,924,924,547460,1.0,0.0016877945420670003,2075,Greater Sydney,1.0,0.999999
2076,Greater Sydney,1243,1243,547460,1.0,0.0022704855149234646,2076,Greater Sydney,1.0,0.999999
2077,Greater Sydney,4982,4982,547460,1.0,0.009100208234391553,2077,Greater Sydney,1.0,0.999999
2079,Greater Sydney,288,288,547460,1.0,0.0005260658312936105,2079,Greater Sydney,1.0,0.999999
2080,Greater Sydney,71,71,547460,1.0,0.00012968984035363314,2080,Greater Sydney,1.0,0.999999
2081,Greater Sydney,190,190,547460,1.0,0.00034705731925620134,2081,Greater Sydney,1.0,0.999999
2082,Greater Sydney,196,196,547460,1.0,0.00035801702407481823,2082,Greater Sydney,1.0,0.999999
2083,Greater Sydney,110,110,547460,1.0,0.0002009279216746429,2083,Greater Sydney,1.0,0.999999
2084,Greater Sydney,143,143,547460,1.0,0.0002612062981770358,2084,Greater Sydney,1.0,0.999999
2085,Greater Sydney,293,293,547460,1.0,0.0005351989186424579,2085,Greater Sydney,0.9867885,0.999999
2086,Greater Sydney,518,518,547460,1.0,0.000946187849340591,2086,Greater Sydney,1.0,0.999999
2087,Greater Sydney,655,655,547460,1.0,0.00119643444269901,2087,Greater Sydney,1.0,0.999999
2088,Greater Sydney,3724,3724,547460,1.0,0.006802323457421547,2088,Greater Sydney,1.0,0.999999
2089,Greater Sydney,2740,2740,547460,1.0,0.005004931867168378,2089,Greater Sydney,0.9927034,0.999999
2090,Greater Sydney,2626,2626,547460,1.0,0.004796697475614657,2090,Greater Sydney,0.99689,0.999999
2092,Greater Sydney,358,358,547460,1.0,0.0006539290541774742,2092,Greater Sydney,1.0,0.999999
2093,Greater Sydney,2094,2094,547460,1.0,0.003824936981697293,2093,Greater Sydney,1.0,0.999999
2094,Greater Sydney,763,763,547460,1.0,0.001393709129434114,2094,Greater Sydney,1.0,0.999999
2095,Greater Sydney,3313,3313,547460,1.0,0.00605158367734629,2095,Greater Sydney,1.0,0.999999
2096,Greater Sydney,2021,2021,547460,1.0,0.003691593906404121,2096,Greater Sydney,0.9994544,0.999999
2097,Greater Sydney,1079,1079,547460,1.0,0.00197092024988127,2097,Greater Sydney,1.0,0.999999
2099,Greater Sydney,5135,5135,547460,1.0,0.009379680707266285,2099,Greater Sydney,0.9976197,0.999999
2100,Greater Sydney,1362,1362,547460,1.0,0.002487852993826033,2100,Greater Sydney,0.9940007,0.999999
