SA1,LGA,Rented Households,LGA Totals,SA1 Totals,SA1 Fraction,LGA Fraction
10201102910,Central Coast (NSW),36,36415,36,1.0,0.0009886035974186462
10201102911,Central Coast (NSW),28,36415,28,1.0,0.0007689139091033915
10201102912,Central Coast (NSW),21,36415,21,1.0,0.0005766854318275436
10201102913,Central Coast (NSW),4,36415,4,1.0,0.00010984484415762735
10201102914,Central Coast (NSW),8,36415,8,1.0,0.0002196896883152547
10201102915,Central Coast (NSW),6,36415,6,1.0,0.00016476726623644103
10201102916,Central Coast (NSW),17,36415,17,1.0,0.00046684058766991625
10201102917,Central Coast (NSW),24,36415,24,1.0,0.0006590690649457641
10201102918,Central Coast (NSW),22,36415,22,1.0,0.0006041466428669504
10201102919,Central Coast (NSW),8,36415,8,1.0,0.0002196896883152547
10201102922,Central Coast (NSW),15,36415,15,1.0,0.00041191816559110257
10201102923,Central Coast (NSW),9,36415,9,1.0,0.00024715089935466156
10201102924,Central Coast (NSW),3,36415,3,1.0,8.238363311822052e-05
10201102925,Central Coast (NSW),53,36415,53,1.0,0.0014554441850885625
10201102926,Central Coast (NSW),21,36415,21,1.0,0.0005766854318275436
10201102927,Central Coast (NSW),34,36415,34,1.0,0.0009336811753398325
10201102928,Central Coast (NSW),36,36415,36,1.0,0.0009886035974186462
10201103002,Central Coast (NSW),52,36415,52,1.0,0.0014279829740491555
10201103003,Central Coast (NSW),20,36415,20,1.0,0.0005492242207881368
10201103004,Central Coast (NSW),21,36415,21,1.0,0.0005766854318275436
10201103005,Central Coast (NSW),13,36415,13,1.0,0.0003569957435122889
10201103006,Central Coast (NSW),28,36415,28,1.0,0.0007689139091033915
10201103007,Central Coast (NSW),25,36415,25,1.0,0.000686530275985171
10201103008,Central Coast (NSW),16,36415,16,1.0,0.0004393793766305094
10201103009,Central Coast (NSW),29,36415,29,1.0,0.0007963751201427983
10201103010,Central Coast (NSW),47,36415,47,1.0,0.0012906769188521213
10201103011,Central Coast (NSW),29,36415,29,1.0,0.0007963751201427983
10201103012,Central Coast (NSW),44,36415,44,1.0,0.0012082932857339008
10201103013,Central Coast (NSW),6,36415,6,1.0,0.00016476726623644103
10201103014,Central Coast (NSW),29,36415,29,1.0,0.0007963751201427983
10201103101,Central Coast (NSW),6,36415,6,1.0,0.00016476726623644103
10201103102,Central Coast (NSW),4,36415,4,1.0,0.00010984484415762735
10201103103,Central Coast (NSW),11,36415,11,1.0,0.0003020733214334752
10201103104,Central Coast (NSW),82,36415,82,1.0,0.0022518193052313605
10201103105,Central Coast (NSW),24,36415,24,1.0,0.0006590690649457641
10201103106,Central Coast (NSW),37,36415,37,1.0,0.001016064808458053
