SA1_CODE21,LGA_NAME22
10103101306,Snowy Monaro
10103101307,Bega Valley
10103101307,Snowy Monaro
10103101308,Bega Valley
10103101308,Snowy Monaro
10103101401,Snowy Monaro
10103101402,Snowy Monaro
10103101403,Snowy Monaro
10103101404,Snowy Monaro
10103101405,Snowy Monaro
10103101406,Snowy Monaro
10103101407,Snowy Monaro
10103101408,Snowy Monaro
10103101409,Snowy Monaro
10103101410,Snowy Monaro
10103101411,Snowy Monaro
10103101412,Snowy Monaro
10103101414,Snowy Monaro
10103101415,Snowy Monaro
10103101417,Snowy Monaro
10103101419,Snowy Monaro
10103101420,Snowy Monaro
10103101421,Snowy Monaro
10103101501,Snowy Monaro
10103101502,Snowy Monaro
10103101503,Snowy Monaro
10103101505,Snowy Monaro
10103101511,Snowy Monaro
10103101512,Snowy Monaro
10103101514,Snowy Monaro
10103101515,Snowy Monaro
10103101516,Snowy Monaro
10103101517,Bega Valley
10103101517,Snowy Monaro
10103101518,Snowy Monaro
10103101519,Snowy Monaro
10103101520,Snowy Monaro
10103101521,Snowy Monaro
10103101523,Snowy Monaro
10103101524,Snowy Monaro
10103101525,Snowy Monaro
10103101526,Snowy Monaro
10103101601,Snowy Monaro
10103101602,Snowy Monaro
10103101603,Snowy Monaro
10103101604,Snowy Monaro
10103101605,Snowy Monaro
10103101606,Snowy Monaro
10103101607,Snowy Monaro
10103101608,Snowy Monaro
10103101611,Snowy Monaro
10103101612,Snowy Monaro
10103101612,Snowy Valleys
10103101614,Snowy Monaro
10103101615,Snowy Monaro
10103101616,Snowy Monaro
10103101617,Snowy Monaro
10103101619,Snowy Monaro
10103101620,Snowy Monaro
10103101621,Snowy Monaro
10103101622,Snowy Monaro
10103101623,Snowy Monaro
10103101624,Snowy Monaro
10103101625,Snowy Monaro
10103101626,Snowy Monaro
10103101627,Snowy Monaro
10104101701,Eurobodalla
10104101702,Eurobodalla
10104101703,Eurobodalla
10104101704,Eurobodalla
10104101705,Eurobodalla
10104101706,Eurobodalla
10104101707,Eurobodalla
10104101708,Eurobodalla
10104101709,Eurobodalla
10104101710,Eurobodalla
10104101711,Eurobodalla
10104101713,Eurobodalla
10104101714,Eurobodalla
10104101715,Eurobodalla
10104101716,Eurobodalla
10104101717,Eurobodalla
10104101718,Eurobodalla
10104101719,Eurobodalla
10104101720,Eurobodalla
10104101721,Eurobodalla
10104101722,Eurobodalla
10104101723,Eurobodalla
10104101724,Eurobodalla
10104101801,Eurobodalla
10104101802,Eurobodalla
10104101803,Eurobodalla
10104101804,Eurobodalla
10104101805,Eurobodalla
10104101806,Eurobodalla
10104101807,Eurobodalla
10104101808,Eurobodalla
10104101809,Eurobodalla
10104101810,Eurobodalla
10104101811,Eurobodalla
10104101812,Eurobodalla
10104101813,Eurobodalla
10104101814,Eurobodalla
10104101815,Eurobodalla
10104101816,Eurobodalla
10104101817,Eurobodalla
10104101818,Eurobodalla
10104101819,Eurobodalla
10104101820,Eurobodalla
10104101821,Eurobodalla
10104101822,Eurobodalla
10104101823,Eurobodalla
10104101824,Eurobodalla
10104101901,Bega Valley
10104101902,Bega Valley
10104101903,Bega Valley
10104101904,Bega Valley
10104101905,Bega Valley
10104101906,Bega Valley
10104101907,Bega Valley
10104101911,Bega Valley
10104101912,Bega Valley
10104101913,Bega Valley
10104101915,Bega Valley
10104101917,Bega Valley
10104101918,Bega Valley
10104101919,Bega Valley
10104101920,Bega Valley
10104101921,Bega Valley
10104101924,Bega Valley
10104101925,Bega Valley
10104101926,Bega Valley
10104101927,Bega Valley
10104101928,Bega Valley
10104101929,Bega Valley
10104101930,Bega Valley
10104101931,Bega Valley
10104101932,Bega Valley
10104101933,Bega Valley
10104102001,Bega Valley
10104102002,Bega Valley
10104102003,Bega Valley
10104102004,Bega Valley
10104102005,Bega Valley
10104102006,Bega Valley
10104102007,Bega Valley
10104102008,Bega Valley
10104102009,Bega Valley
10104102010,Bega Valley
10104102010,Snowy Monaro
10104102011,Bega Valley
10104102012,Bega Valley
10104102013,Bega Valley
10104102014,Bega Valley
10104102015,Bega Valley
10104102015,Eurobodalla
10104102016,Bega Valley
10104102017,Bega Valley
10104102018,Bega Valley
10104102019,Bega Valley
10104102020,Bega Valley
10104102021,Bega Valley
10104102022,Bega Valley
10104102023,Bega Valley
10104102024,Bega Valley
10104102025,Bega Valley
10104102026,Bega Valley
10104102027,Bega Valley
10104102028,Bega Valley
10104102029,Bega Valley
10104102030,Bega Valley
10104102031,Bega Valley
10104102032,Bega Valley
10104102102,Eurobodalla
10104102104,Eurobodalla
10104102105,Eurobodalla
10104102106,Eurobodalla
10104102107,Eurobodalla
10104102108,Eurobodalla
10104102110,Eurobodalla
10104102111,Eurobodalla
10104102201,Bega Valley
10104102201,Eurobodalla
10104102201,Snowy Monaro
10104102301,Bega Valley
10104102302,Bega Valley
10104102303,Bega Valley
10104102304,Bega Valley
10104102305,Bega Valley
10104102306,Bega Valley
10104102307,Bega Valley
10104102308,Bega Valley
10104102309,Bega Valley
10104102310,Bega Valley
10104102401,Eurobodalla
10104102401,Shoalhaven
10104102402,Eurobodalla
10104102402,Shoalhaven
10104102403,Eurobodalla
10104102404,Eurobodalla
10104102405,Eurobodalla
10104102406,Eurobodalla
10104102407,Eurobodalla
10104102408,Eurobodalla
10104102409,Eurobodalla
10104102410,Eurobodalla
10104102411,Eurobodalla
10104102412,Eurobodalla
10104102501,Bega Valley
10104102502,Bega Valley
10104102503,Bega Valley
10104102504,Bega Valley
10104102505,Bega Valley
10104102506,Bega Valley
10104102507,Bega Valley
10104102508,Bega Valley
10104102509,Bega Valley
10104102510,Bega Valley
10104102511,Bega Valley
10104102512,Bega Valley
10104102513,Bega Valley
10104102514,Bega Valley
10104102516,Bega Valley
10104102517,Bega Valley
10104102518,Bega Valley
10104102519,Bega Valley
10104102520,Bega Valley
10104102521,Bega Valley
10104102522,Bega Valley
10104102523,Bega Valley
10104102524,Bega Valley
10104102525,Bega Valley
10104102526,Bega Valley
10104102527,Bega Valley
10104102528,Bega Valley
10104102529,Bega Valley
10104102530,Bega Valley
10104102531,Bega Valley
10104102532,Bega Valley
10104102601,Eurobodalla
10104102603,Eurobodalla
10104102604,Eurobodalla
10104102605,Eurobodalla
10104102606,Eurobodalla
10104102607,Eurobodalla
10104102608,Eurobodalla
10104102609,Eurobodalla
10104102610,Eurobodalla
10104102611,Eurobodalla
10104102613,Eurobodalla
10104102614,Eurobodalla
10104102615,Eurobodalla
10104102616,Eurobodalla
10104102617,Eurobodalla
10104102618,Eurobodalla
10104102619,Eurobodalla
10104102620,Eurobodalla
10104102621,Eurobodalla
10104102622,Eurobodalla
10104102623,Eurobodalla
10104102624,Eurobodalla
10104102625,Eurobodalla
10104102626,Eurobodalla
10104102627,Eurobodalla
10104102701,Bega Valley
10104102702,Eurobodalla
10104102703,Eurobodalla
10104102704,Eurobodalla
10104102705,Eurobodalla
10104102706,Eurobodalla
10104102707,Eurobodalla
10104102708,Eurobodalla
10104102709,Eurobodalla
10104102710,Bega Valley
10104102711,Bega Valley
10104102712,Eurobodalla
10104102713,Eurobodalla
10104102714,Eurobodalla
10104102715,Eurobodalla
10104102716,Eurobodalla
10104102719,Bega Valley
10104102720,Bega Valley
10104102721,Bega Valley
10104102721,Eurobodalla
10104102722,Eurobodalla
10104102723,Eurobodalla
10104102724,Eurobodalla
10104102725,Eurobodalla
10104102726,Eurobodalla
10104102728,Eurobodalla
10104102729,Eurobodalla
10104102730,Eurobodalla
10104102731,Bega Valley
10104102732,Bega Valley
10104102733,Eurobodalla
10105153901,Goulburn Mulwaree
10105153902,Goulburn Mulwaree
10105153903,Goulburn Mulwaree
10105153904,Goulburn Mulwaree
10105153905,Goulburn Mulwaree
10105153906,Goulburn Mulwaree
10105153907,Goulburn Mulwaree
10105153909,Goulburn Mulwaree
10105153910,Goulburn Mulwaree
