Postcode,State Electorate,Rented Households,Postcode Totals,State Electorate Totals,Postcode Fraction,State Electorate Fraction,POA_NAME_2016,SED_NAME_2016,POA_2016_2021_RATIO,SED_2016_2021_RATIO
2844,Barwon,110,110,8010,1.0,0.01373283395755306,2844,Barwon,1.0,1.0
2845,Bathurst,166,166,7463,1.0,0.022243065791236766,2845,Bathurst,1.0,0.9993171
2846,Bathurst,10,10,7463,1.0,0.0013399437223636608,2846,Bathurst,1.0,0.9993171
2847,Bathurst,110,110,7463,1.0,0.014739380946000268,2847,Bathurst,1.0,0.9993171
2848,Bathurst,200,200,7463,1.0,0.026798874447273215,2848,Bathurst,1.0,0.9993171
2849,Bathurst,99,104,7463,0.9519230769230769,0.01326544285140024,2849,Bathurst,1.0,0.9993171
2849,Upper Hunter,5,104,7342,0.04807692307692308,0.000681013347861618,2849,Upper Hunter,1.0,0.9947996
2850,Dubbo,1655,1739,7816,0.9516963772282921,0.2117451381780962,2850,Dubbo,1.0,0.9961841
2850,Bathurst,27,1739,7463,0.015526164462334674,0.003617848050381884,2850,Bathurst,1.0,0.9993171
2850,Upper Hunter,57,1739,7342,0.0327774583093732,0.007763552165622446,2850,Upper Hunter,1.0,0.9947996
2852,Dubbo,282,282,7816,1.0,0.036079836233367454,2852,Dubbo,1.0,0.9961841
2864,Orange,34,34,8008,1.0,0.004245754245754246,2864,Orange,1.0,0.9996142
2865,Orange,50,50,8008,1.0,0.006243756243756244,2865,Orange,1.0,0.9996142
2866,Dubbo,9,231,7816,0.03896103896103896,0.0011514841351074718,2866,Dubbo,1.0,0.9961841
2866,Orange,222,231,8008,0.961038961038961,0.027722277722277724,2866,Orange,1.0,0.9996142
2867,Dubbo,4,36,7816,0.1111111111111111,0.0005117707267144319,2867,Dubbo,1.0,0.9961841
2867,Orange,32,36,8008,0.8888888888888888,0.003996003996003996,2867,Orange,1.0,0.9996142
2868,Orange,36,42,8008,0.8571428571428571,0.004495504495504496,2868,Orange,1.0,0.9996142
2868,Dubbo,6,42,7816,0.14285714285714285,0.0007676560900716479,2868,Dubbo,1.0,0.9961841
2869,Orange,109,123,8008,0.8861788617886179,0.013611388611388612,2869,Orange,1.0,0.9996142
2869,Dubbo,14,123,7816,0.11382113821138211,0.0017911975435005118,2869,Dubbo,1.0,0.9961841
2870,Orange,1292,1292,8008,1.0,0.16133866133866134,2870,Orange,1.0,0.9996142
2871,Barwon,3,890,8010,0.0033707865168539327,0.0003745318352059925,2871,Barwon,0.9851976,1.0
2871,Orange,887,890,8008,0.996629213483146,0.11076423576423576,2871,Orange,0.9851976,0.9996142
2873,Barwon,40,40,8010,1.0,0.004993757802746567,2873,Barwon,1.0,1.0
2874,Orange,18,18,8008,1.0,0.002247752247752248,2874,Orange,1.0,0.9996142
2875,Barwon,3,64,8010,0.046875,0.0003745318352059925,2875,Barwon,1.0,1.0
2875,Orange,61,64,8008,0.953125,0.007617382617382617,2875,Orange,1.0,0.9996142
2876,Orange,10,10,8008,1.0,0.0012487512487512488,2876,Orange,1.0,0.9996142
2877,Barwon,392,392,8010,1.0,0.04893882646691636,2877,Barwon,1.0,1.0
2878,Barwon,22,22,8010,1.0,0.0027465667915106116,2878,Barwon,1.0,1.0
2879,Barwon,78,78,8010,1.0,0.009737827715355805,2879,Barwon,1.0,1.0
2880,Barwon,1692,1692,8010,1.0,0.21123595505617979,2880,Barwon,1.0,1.0
2898,Port Macquarie,38,38,7623,1.0,0.004984914075823166,2898,Port Macquarie,1.0,0.9999999
