LGA_CODE_2016,LGA_NAME_2016,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_2016_TO_2021
25250.0,Moreland (C),25250,Moreland,1.0
25340.0,Mornington Peninsula (S),25340,Mornington Peninsula,1.0
25430.0,Mount Alexander (S),25430,Mount Alexander,1.0
25490.0,Moyne (S),25490,Moyne,1.0
25620.0,Murrindindi (S),25620,Murrindindi,1.0
25710.0,Nillumbik (S),25710,Nillumbik,1.0
25810.0,Northern Grampians (S),25810,Northern Grampians,1.0
25900.0,Port Phillip (C),25900,Port Phillip,1.0
25990.0,Pyrenees (S),25990,Pyrenees,1.0
26080.0,Queenscliffe (B),26080,Queenscliffe,1.0
26170.0,South Gippsland (S),26170,South Gippsland,1.0
26260.0,Southern Grampians (S),26260,Southern Grampians,1.0
26350.0,Stonnington (C),26350,Stonnington,1.0
26430.0,Strathbogie (S),26430,Strathbogie,1.0
26490.0,Surf Coast (S),26490,Surf Coast,1.0
26610.0,Swan Hill (RC),26610,Swan Hill,1.0
26670.0,Towong (S),26670,Towong,1.0
26700.0,Wangaratta (RC),26700,Wangaratta,1.0
26730.0,Warrnambool (C),26730,Warrnambool,1.0
26810.0,Wellington (S),26810,Wellington,1.0
26890.0,West Wimmera (S),26890,West Wimmera,1.0
26980.0,Whitehorse (C),26980,Whitehorse,1.0
27070.0,Whittlesea (C),27070,Whittlesea,1.0
27170.0,Wodonga (C),27170,Wodonga,1.0
27260.0,Wyndham (C),27260,Wyndham,1.0
27350.0,Yarra (C),27350,Yarra,1.0
27450.0,Yarra Ranges (S),27450,Yarra Ranges,1.0
27630.0,Yarriambiack (S),27630,Yarriambiack,1.0
29399.0,Unincorporated Vic,29399,Unincorporated Vic,1.0
29499.0,No usual address (Vic.),29499,No usual address (Vic.),1.0
29799.0,Migratory - Offshore - Shipping (Vic.),29799,Migratory - Offshore - Shipping (Vic.),1.0
30250.0,Aurukun (S),30250,Aurukun,1.0
30300.0,Balonne (S),30300,Balonne,1.0
30370.0,Banana (S),30370,Banana,1.0
30410.0,Barcaldine (R),30410,Barcaldine,1.0
30450.0,Barcoo (S),30450,Barcoo,1.0
30760.0,Blackall-Tambo (R),30760,Blackall Tambo,1.0
30900.0,Boulia (S),30900,Boulia,1.0
31000.0,Brisbane (C),31000,Brisbane,1.0
31750.0,Bulloo (S),31750,Bulloo,1.0
31820.0,Bundaberg (R),31820,Bundaberg,1.0
31900.0,Burdekin (S),31900,Burdekin,1.0
31950.0,Burke (S),31950,Burke,1.0
32080.0,Cairns (R),32080,Cairns,1.0
32250.0,Carpentaria (S),32250,Carpentaria,1.0
32260.0,Cassowary Coast (R),32260,Cassowary Coast,1.0
32270.0,Central Highlands (R) (Qld),32270,Central Highlands (Qld),1.0
32310.0,Charters Towers (R),32310,Charters Towers,1.0
32330.0,Cherbourg (S),32330,Cherbourg,1.0
32450.0,Cloncurry (S),32450,Cloncurry,1.0
32600.0,Croydon (S),32600,Croydon,1.0
32750.0,Diamantina (S),32750,Diamantina,1.0
32770.0,Doomadgee (S),32770,Doomadgee,1.0
32810.0,Douglas (S),32810,Douglas,1.0
33100.0,Etheridge (S),33100,Etheridge,1.0
33200.0,Flinders (S) (Qld),33200,Flinders (Qld),1.0
33220.0,Fraser Coast (R),33220,Fraser Coast,1.0
33360.0,Gladstone (R),33360,Gladstone,1.0
33430.0,Gold Coast (C),33430,Gold Coast,1.0
33610.0,Goondiwindi (R),33610,Goondiwindi,1.0
33620.0,Gympie (R),33620,Gympie,1.0
33800.0,Hinchinbrook (S),33800,Hinchinbrook,1.0
33830.0,Hope Vale (S),33830,Hope Vale,1.0
33960.0,Ipswich (C),33960,Ipswich,1.0
33980.0,Isaac (R),33980,Isaac,1.0
34420.0,Kowanyama (S),34420,Kowanyama,1.0
34530.0,Livingstone (S),34530,Livingstone,1.0
34570.0,Lockhart River (S),34570,Lockhart River,1.0
34580.0,Lockyer Valley (R),34580,Lockyer Valley,1.0
34590.0,Logan (C),34590,Logan,1.0
34710.0,Longreach (R),34710,Longreach,1.0
34770.0,Mackay (R),34770,Mackay,1.0
34800.0,McKinlay (S),34800,McKinlay,1.0
34830.0,Mapoon (S),34830,Mapoon,1.0
34860.0,Maranoa (R),34860,Maranoa,1.0
34880.0,Mareeba (S),34880,Mareeba,1.0
35010.0,Moreton Bay (R),35010,Moreton Bay,1.0
35250.0,Mornington (S),35250,Mornington,1.0
35300.0,Mount Isa (C),35300,Mount Isa,1.0
35600.0,Murweh (S),35600,Murweh,1.0
35670.0,Napranum (S),35670,Napranum,1.0
35740.0,Noosa (S),35740,Noosa,1.0
35760.0,North Burnett (R),35760,North Burnett,1.0
35780.0,Northern Peninsula Area (R),35780,Northern Peninsula Area,1.0
35790.0,Palm Island (S),35790,Palm Island,1.0
35800.0,Paroo (S),35800,Paroo,1.0
36070.0,Pormpuraaw (S),36070,Pormpuraaw,1.0
36150.0,Quilpie (S),36150,Quilpie,1.0
36250.0,Redland (C),36250,Redland,1.0
36300.0,Richmond (S),36300,Richmond,1.0
36370.0,Rockhampton (R),36370,Rockhampton,1.0
36510.0,Scenic Rim (R),36510,Scenic Rim,1.0
36580.0,Somerset (R),36580,Somerset,1.0
36630.0,South Burnett (R),36630,South Burnett,1.0
36660.0,Southern Downs (R),36660,Southern Downs,1.0
36720.0,Sunshine Coast (R),36720,Sunshine Coast,1.0
36820.0,Tablelands (R),36820,Tablelands,1.0
36910.0,Toowoomba (R),36910,Toowoomba,1.0
36950.0,Torres (S),36950,Torres,1.0
36960.0,Torres Strait Island (R),36960,Torres Strait Island,1.0
37010.0,Townsville (C),37010,Townsville,1.0
37300.0,Weipa (T),37300,Weipa,1.0
37310.0,Western Downs (R),37310,Western Downs,1.0
37340.0,Whitsunday (R),37340,Whitsunday,1.0
37400.0,Winton (S),37400,Winton,1.0
37550.0,Woorabinda (S),37550,Woorabinda,1.0
37570.0,Wujal Wujal (S),37570,Wujal Wujal,1.0
37600.0,Yarrabah (S),37600,Yarrabah,1.0
39499.0,No usual address (Qld),39499,No usual address (Qld),1.0
39799.0,Migratory - Offshore - Shipping (Qld),39799,Migratory - Offshore - Shipping (Qld),1.0
40070.0,Adelaide (C),40070,Adelaide,1.0
40120.0,Adelaide Hills (DC),40120,Adelaide Hills,1.0
40220.0,Alexandrina (DC),40220,Alexandrina,1.0
40250.0,Anangu Pitjantjatjara (AC),40250,Anangu Pitjantjatjara Yunkunytjatjara,1.0
40310.0,Barossa (DC),40310,Barossa,1.0
40430.0,Barunga West (DC),40430,Barunga West,1.0
40520.0,Berri and Barmera (DC),40520,Berri Barmera,1.0
40700.0,Burnside (C),40700,Burnside,1.0
40910.0,Campbelltown (C) (SA),40910,Campbelltown (SA),1.0
41010.0,Ceduna (DC),41010,Ceduna,1.0
41060.0,Charles Sturt (C),41060,Charles Sturt,1.0
41140.0,Clare and Gilbert Valleys (DC),41140,Clare and Gilbert Valleys,1.0
41190.0,Cleve (DC),41190,Cleve,1.0
41330.0,Coober Pedy (DC),41330,Coober Pedy,1.0
41560.0,Copper Coast (DC),41560,Copper Coast,1.0
41750.0,Elliston (DC),41750,Elliston,1.0
41830.0,Flinders Ranges (DC),41830,Flinders Ranges,1.0
41960.0,Franklin Harbour (DC),41960,Franklin Harbour,1.0
42030.0,Gawler (T),42030,Gawler,1.0
42110.0,Goyder (DC),42110,Goyder,1.0
42250.0,Grant (DC),42250,Grant,1.0
42600.0,Holdfast Bay (C),42600,Holdfast Bay,1.0
42750.0,Kangaroo Island (DC),42750,Kangaroo Island,1.0
43080.0,Karoonda East Murray (DC),43080,Karoonda East Murray,1.0
43220.0,Kimba (DC),43220,Kimba,1.0
43360.0,Kingston (DC) (SA),43360,Kingston (SA),1.0
43650.0,Light (RegC),43650,Light,1.0
43710.0,Lower Eyre Peninsula (DC),43710,Lower Eyre Peninsula,1.0
43790.0,Loxton Waikerie (DC),43790,Loxton Waikerie,1.0
43920.0,Mallala (DC),40150,Adelaide Plains,1.0
44000.0,Maralinga Tjarutja (AC),44000,Maralinga Tjarutja,1.0
44060.0,Marion (C),44060,Marion,1.0
44210.0,Mid Murray (DC),44210,Mid Murray,1.0
44340.0,Mitcham (C),44340,Mitcham,1.0
44550.0,Mount Barker (DC),44550,Mount Barker,1.0
44620.0,Mount Gambier (C),44620,Mount Gambier,1.0
44830.0,Mount Remarkable (DC),44830,Mount Remarkable,1.0
45040.0,Murray Bridge (RC),45040,Murray Bridge,1.0
45090.0,Naracoorte and Lucindale (DC),45090,Naracoorte Lucindale,1.0
45120.0,Northern Areas (DC),45120,Northern Areas,1.0
45290.0,Norwood Payneham St Peters (C),45290,Norwood Payneham and St Peters,1.0
45340.0,Onkaparinga (C),45340,Onkaparinga,1.0
45400.0,Orroroo/Carrieton (DC),45400,Orroroo Carrieton,1.0
45540.0,Peterborough (DC),45540,Peterborough,1.0
45680.0,Playford (C),45680,Playford,1.0
45890.0,Port Adelaide Enfield (C),45890,Port Adelaide Enfield,1.0
46090.0,Port Augusta (C),46090,Port Augusta,1.0
46300.0,Port Lincoln (C),46300,Port Lincoln,1.0
46450.0,Port Pirie City and Dists (M),46450,Port Pirie,1.0
46510.0,Prospect (C),46510,Prospect,1.0
46670.0,Renmark Paringa (DC),46670,Renmark Paringa,1.0
46860.0,Robe (DC),46860,Robe,1.0
46970.0,Roxby Downs (M),46970,Roxby Downs,1.0
47140.0,Salisbury (C),47140,Salisbury,1.0
47290.0,Southern Mallee (DC),47290,Southern Mallee,1.0
47490.0,Streaky Bay (DC),47490,Streaky Bay,1.0
47630.0,Tatiara (DC),47630,Tatiara,1.0
47700.0,Tea Tree Gully (C),47700,Tea Tree Gully,1.0
47800.0,The Coorong (DC),47800,Coorong,1.0
47910.0,Tumby Bay (DC),47910,Tumby Bay,1.0
47980.0,Unley (C),47980,Unley,1.0
48050.0,Victor Harbor (C),48050,Victor Harbor,1.0
48130.0,Wakefield (DC),48130,Wakefield,1.0
48260.0,Walkerville (M),48260,Walkerville,1.0
48340.0,Wattle Range (DC),48340,Wattle Range,1.0
48410.0,West Torrens (C),48410,West Torrens,1.0
48540.0,Whyalla (C),48540,Whyalla,1.0
48640.0,Wudinna (DC),48640,Wudinna,1.0
48750.0,Yankalilla (DC),48750,Yankalilla,1.0
48830.0,Yorke Peninsula (DC),48830,Yorke Peninsula,1.0
49399.0,Unincorporated SA,49399,Unincorporated SA,1.0
49499.0,No usual address (SA),49499,No usual address (SA),1.0
49799.0,Migratory - Offshore - Shipping (SA),49799,Migratory - Offshore - Shipping (SA),1.0
50080.0,Albany (C),50080,Albany,1.0
50210.0,Armadale (C),50210,Armadale,1.0
50250.0,Ashburton (S),50250,Ashburton,1.0
50280.0,Augusta-Margaret River (S),50280,Augusta Margaret River,1.0
50350.0,Bassendean (T),50350,Bassendean,1.0
50420.0,Bayswater (C),50420,Bayswater,1.0
50490.0,Belmont (C),50490,Belmont,1.0
50560.0,Beverley (S),50560,Beverley,1.0
50630.0,Boddington (S),50630,Boddington,1.0
50770.0,Boyup Brook (S),50770,Boyup Brook,1.0
50840.0,Bridgetown-Greenbushes (S),50840,Bridgetown-Greenbushes,1.0
50910.0,Brookton (S),50910,Brookton,1.0
50980.0,Broome (S),50980,Broome,1.0
51080.0,Broomehill-Tambellup (S),51080,Broomehill-Tambellup,1.0
51120.0,Bruce Rock (S),51120,Bruce Rock,1.0
51190.0,Bunbury (C),51190,Bunbury,1.0
51260.0,Busselton (C),51260,Busselton,1.0
51330.0,Canning (C),51330,Canning,1.0
51400.0,Capel (S),51400,Capel,1.0
51470.0,Carnamah (S),51470,Carnamah,1.0
51540.0,Carnarvon (S),51540,Carnarvon,1.0
51610.0,Chapman Valley (S),51610,Chapman Valley,1.0
51680.0,Chittering (S),51680,Chittering,1.0
51750.0,Claremont (T),51750,Claremont,1.0
51820.0,Cockburn (C),51820,Cockburn,1.0
51890.0,Collie (S),51890,Collie,1.0
51960.0,Coolgardie (S),51960,Coolgardie,1.0
52030.0,Coorow (S),52030,Coorow,1.0
52100.0,Corrigin (S),52100,Corrigin,1.0
52170.0,Cottesloe (T),52170,Cottesloe,1.0
52240.0,Cranbrook (S),52240,Cranbrook,1.0
52310.0,Cuballing (S),52310,Cuballing,1.0
52380.0,Cue (S),52380,Cue,1.0
52450.0,Cunderdin (S),52450,Cunderdin,1.0
52520.0,Dalwallinu (S),52520,Dalwallinu,1.0
52590.0,Dandaragan (S),52590,Dandaragan,1.0
52660.0,Dardanup (S),52660,Dardanup,1.0
52730.0,Denmark (S),52730,Denmark,1.0
52870.0,Donnybrook-Balingup (S),52870,Donnybrook-Balingup,1.0
52940.0,Dowerin (S),52940,Dowerin,1.0
53010.0,Dumbleyung (S),53010,Dumbleyung,1.0
53080.0,Dundas (S),53080,Dundas,1.0
53150.0,East Fremantle (T),53150,East Fremantle,1.0
53220.0,East Pilbara (S),53220,East Pilbara,1.0
53290.0,Esperance (S),53290,Esperance,1.0
53360.0,Exmouth (S),53360,Exmouth,1.0
53430.0,Fremantle (C),53430,Fremantle,1.0
53570.0,Gingin (S),53570,Gingin,1.0
53640.0,Gnowangerup (S),53640,Gnowangerup,1.0
53710.0,Goomalling (S),53710,Goomalling,1.0
53780.0,Gosnells (C),53780,Gosnells,1.0
53800.0,Greater Geraldton (C),53800,Greater Geraldton,1.0
53920.0,Halls Creek (S),53920,Halls Creek,1.0
53990.0,Harvey (S),53990,Harvey,1.0
54060.0,Irwin (S),54060,Irwin,1.0
54130.0,Jerramungup (S),54130,Jerramungup,1.0
54170.0,Joondalup (C),54170,Joondalup,1.0
54200.0,Kalamunda (S),54200,Kalamunda,1.0
54280.0,Kalgoorlie/Boulder (C),54280,Kalgoorlie-Boulder,1.0
54340.0,Katanning (S),54340,Katanning,1.0
54410.0,Kellerberrin (S),54410,Kellerberrin,1.0
54480.0,Kent (S),54480,Kent,1.0
54550.0,Kojonup (S),54550,Kojonup,1.0
54620.0,Kondinin (S),54620,Kondinin,1.0
54690.0,Koorda (S),54690,Koorda,1.0
54760.0,Kulin (S),54760,Kulin,1.0
54830.0,Kwinana (C),54830,Kwinana,1.0
54900.0,Lake Grace (S),54900,Lake Grace,1.0
54970.0,Laverton (S),54970,Laverton,1.0
55040.0,Leonora (S),55040,Leonora,1.0
55110.0,Mandurah (C),55110,Mandurah,1.0
55180.0,Manjimup (S),55180,Manjimup,1.0
55250.0,Meekatharra (S),55250,Meekatharra,1.0
55320.0,Melville (C),55320,Melville,1.0
55390.0,Menzies (S),55390,Menzies,1.0
55460.0,Merredin (S),55460,Merredin,1.0
55530.0,Mingenew (S),55530,Mingenew,1.0
55600.0,Moora (S),55600,Moora,1.0
55670.0,Morawa (S),55670,Morawa,1.0
55740.0,Mosman Park (T),55740,Mosman Park,1.0
55810.0,Mount Magnet (S),55810,Mount Magnet,1.0
55880.0,Mount Marshall (S),55880,Mount Marshall,1.0
55950.0,Mukinbudin (S),55950,Mukinbudin,1.0
56090.0,Mundaring (S),56090,Mundaring,1.0
56160.0,Murchison (S),56160,Murchison,1.0
56230.0,Murray (S),56230,Murray,1.0
56300.0,Nannup (S),56300,Nannup,1.0
56370.0,Narembeen (S),56370,Narembeen,1.0
56460.0,Narrogin (S),56460,Narrogin,1.0
56580.0,Nedlands (C),56580,Nedlands,1.0
56620.0,Ngaanyatjarraku (S),56620,Ngaanyatjarraku,1.0
56730.0,Northam (S),56730,Northam,1.0
56790.0,Northampton (S),56790,Northampton,1.0
56860.0,Nungarin (S),56860,Nungarin,1.0
56930.0,Peppermint Grove (S),56930,Peppermint Grove,1.0
57000.0,Perenjori (S),57000,Perenjori,1.0
57080.0,Perth (C),57080,Perth,1.0
57140.0,Pingelly (S),57140,Pingelly,1.0
57210.0,Plantagenet (S),57210,Plantagenet,1.0
57280.0,Port Hedland (T),57280,Port Hedland,1.0
57350.0,Quairading (S),57350,Quairading,1.0
57420.0,Ravensthorpe (S),57420,Ravensthorpe,1.0
57490.0,Rockingham (C),57490,Rockingham,1.0
57630.0,Sandstone (S),57630,Sandstone,1.0
57700.0,Serpentine-Jarrahdale (S),57700,Serpentine-Jarrahdale,1.0
57770.0,Shark Bay (S),57770,Shark Bay,1.0
57840.0,South Perth (C),57840,South Perth,1.0
57910.0,Stirling (C),57910,Stirling,1.0
58190.0,Tammin (S),58190,Tammin,1.0
58260.0,Three Springs (S),58260,Three Springs,1.0
58330.0,Toodyay (S),58330,Toodyay,1.0
58400.0,Trayning (S),58400,Trayning,1.0
58470.0,Upper Gascoyne (S),58470,Upper Gascoyne,1.0
58510.0,Victoria Park (T),58510,Victoria Park,1.0
58540.0,Victoria Plains (S),58540,Victoria Plains,1.0
58570.0,Vincent (C),58570,Vincent,1.0
58610.0,Wagin (S),58610,Wagin,1.0
58680.0,Wandering (S),58680,Wandering,1.0
58760.0,Wanneroo (C),58760,Wanneroo,1.0
58820.0,Waroona (S),58820,Waroona,1.0
58890.0,West Arthur (S),58890,West Arthur,1.0
59030.0,Westonia (S),59030,Westonia,1.0
59100.0,Wickepin (S),59100,Wickepin,1.0
59170.0,Williams (S),59170,Williams,1.0
59250.0,Wiluna (S),59250,Wiluna,1.0
59310.0,Wongan-Ballidu (S),59310,Wongan-Ballidu,1.0
59320.0,Woodanilling (S),59320,Woodanilling,1.0
59330.0,Wyalkatchem (S),59330,Wyalkatchem,1.0
59340.0,Wyndham-East Kimberley (S),59340,Wyndham-East Kimberley,1.0
59350.0,Yalgoo (S),59350,Yalgoo,1.0
59360.0,Yilgarn (S),59360,Yilgarn,1.0
59370.0,York (S),59370,York,1.0
59499.0,No usual address (WA),59499,No usual address (WA),1.0
59799.0,Migratory - Offshore - Shipping (WA),59799,Migratory - Offshore - Shipping (WA),1.0
60210.0,Break O'Day (M),60210,Break O'Day,1.0
60410.0,Brighton (M),60410,Brighton,1.0
60610.0,Burnie (C),60610,Burnie,1.0
