SED_CODE_2016,SED_NAME_2016,SED_CODE_2021,SED_NAME_2021,RATIO_FROM_2016_TO_2021
30014.0,Burleigh,30012,Burleigh,0.8123423
60305.0,Denison (Huon),60304,Clark (Huon),0.8120592
40044.0,Unley,40044,Unley,0.8118978
60513.0,Lyons (Rumney),60512,Lyons (Prosser),0.8043287
30043.0,Kawana,30040,Kawana,0.80422
30061.0,Mundingburra,30061,Mundingburra,0.8038046
30030.0,Gaven,30027,Gaven,0.7973243
30070.0,Redlands,30072,Redlands,0.7932185
30041.0,Ipswich West,30038,Ipswich West,0.7913374
40040.0,Schubert,40040,Schubert,0.7868644
30016.0,Cairns,30014,Cairns,0.7848405
53205.0,Kwinana (South Metropolitan),53105,Kwinana (South Metropolitan),0.784277
60502.0,Lyons (Derwent),60501,Lyons (Derwent),0.7835532
40019.0,Goyder (SA),40034,Narungga,0.7825983
30063.0,Nanango,30063,Nanango,0.7825068
55504.0,Wanneroo (North Metropolitan),55504,Wanneroo (North Metropolitan),0.7804973
30078.0,Stretton,30081,Stretton,0.7801743
30006.0,Beaudesert,30075,Scenic Rim,0.7799486
40031.0,Morialta,40031,Morialta,0.7759005
70011.0,Fannie Bay,70011,Fannie Bay,0.7727034
40021.0,Hartley,40021,Hartley,0.7719806
51004.0,Burns Beach (North Metropolitan),51004,Burns Beach (North Metropolitan),0.7693343
30060.0,Mulgrave,30060,Mulgrave,0.7686433
30065.0,Noosa,30066,Noosa,0.7681438
40039.0,Reynell,40039,Reynell,0.7644342
30009.0,Buderim,30007,Buderim,0.755091
52704.0,Joondalup (North Metropolitan),52604,Joondalup (North Metropolitan),0.7531054
55102.0,Swan Hills (East Metropolitan),55102,Swan Hills (East Metropolitan),0.753067
60101.0,Bass (Apsley),60106,Bass (McIntyre),0.7518104
30052.0,Mermaid Beach,30053,Mermaid Beach,0.746553
40032.0,Morphett,40032,Morphett,0.7460014
30066.0,Nudgee,30067,Nudgee,0.7438343
30067.0,Pine Rivers,30069,Pine Rivers,0.7399084
40036.0,Playford,40016,Florey,0.7394538
70006.0,Braitling,70006,Braitling,0.7389121
30062.0,Murrumba,30003,Bancroft,0.7307437
30038.0,Inala,30036,Inala,0.7284122
30013.0,Burdekin,30011,Burdekin,0.7266076
30037.0,Hinchinbrook,30035,Hinchinbrook,0.7235591
30021.0,Clayfield,30019,Clayfield,0.7147945
30064.0,Nicklin,30064,Nicklin,0.7120538
40026.0,Light,40028,Light,0.7103935
40046.0,West Torrens,40046,West Torrens,0.7085681
40022.0,Heysen,40022,Heysen,0.7045381
70017.0,Namatjira,70019,Namatjira,0.7010355
30023.0,Condamine,30020,Condamine,0.6945453
30039.0,Indooroopilly,30048,Maiwar,0.6932175
30045.0,Lockyer,30043,Lockyer,0.6930811
30085.0,Warrego,30090,Warrego,0.6917855
60106.0,Bass (Launceston),60105,Bass (Launceston),0.6914834
30086.0,Waterford,30091,Waterford,0.6849023
30089.0,Yeerongpilly,30054,Miller,0.6808722
30012.0,Bundamba,30010,Bundamba,0.6701584
30029.0,Ferny Grove,30026,Ferny Grove,0.667929
40004.0,Bright,40003,Black,0.665146
30017.0,Callide,30015,Callide,0.6558179
30080.0,Surfers Paradise,30082,Surfers Paradise,0.6543562
30032.0,Glass House,30029,Glass House,0.6522122
30042.0,Kallangur,30062,Murrumba,0.6492964
40008.0,Croydon,40008,Croydon,0.6476308
40043.0,Torrens,40043,Torrens,0.6454541
40009.0,Davenport,40045,Waite,0.6382811
40023.0,Kaurna,40024,Kaurna,0.633786
40013.0,Finniss,40014,Finniss,0.6312856
40035.0,Newland,40035,Newland,0.6287323
30003.0,Ashgrove,30023,Cooper,0.6280817
40020.0,Hammond,40020,Hammond,0.6269097
30068.0,Pumicestone,30070,Pumicestone,0.6238932
53602.0,Mirrabooka (East Metropolitan),53602,Mirrabooka (East Metropolitan),0.6142038
60514.0,Lyons (Western Tiers),60506,Lyons (McIntyre),0.6133194
40014.0,Fisher,40009,Davenport,0.5989534
40002.0,Ashford,40002,Badcoe,0.5827489
40025.0,Lee,40027,Lee,0.5783719
60501.0,Lyons (Apsley),60512,Lyons (Prosser),0.5775838
30008.0,Broadwater,30006,Broadwater,0.5702528
40029.0,Mawson,40023,Hurtle Vale,0.5697953
30002.0,Algester,30001,Algester,0.5691884
30079.0,Sunnybank,30085,Toohey,0.5688731
52404.0,Girrawheen (North Metropolitan),53204,Landsdale (North Metropolitan),0.5677004
30055.0,Morayfield,30057,Morayfield,0.5612725
30027.0,Dalrymple,30034,Hill,0.5556696
40017.0,Frome,40041,Stuart,0.5509363
55802.0,West Swan (East Metropolitan),55802,West Swan (East Metropolitan),0.5498067
